A	a
COATO'R	c o - a - t o r
COAUTO'R	c o - a u - t o r
COAUTORI'A	c o - a u - t o - r i - a
COAXA'NTE	c o - a - x a n - t e
COAXA'R	c o - a - x a r
COAXIA'L	c o - a - x i - a l
COA'XO	c o - a - x o
COAÇÃ'O	c o - a - ç ã o
COBA'IA	c o - b a i - a
COBA'IO	c o - b a i - o
COBALTI'TE	c o - b a l - t i - t e
COBALTIZA'R	c o - b a l - t i - z a r
COBA'LTO	c o - b a l - t o
COBALTÍ'FERO	c o - b a l - t í - f e - r o
COBA'RDE	c o - b a r - d e
COBARDI'A	c o - b a r - d i - a
COBARDI'CE	c o - b a r - d i - c e
COBE'RTA	c o - b e r - t a
COBE'RTO	c o - b e r - t o
COBERTO'R	c o - b e r - t o r
COBERTU'RA	c o - b e r - t u - r a
COBI'ÇA	c o - b i - ç a
COBIÇADO'R	c o - b i - ç a - d o r
COBIÇA'NTE	c o - b i - ç a n - t e
COBIÇA'R	c o - b i - ç a r
COBIÇO'SO	c o - b i - ç o - s o
CO'BRA	c o - b r a
COBRADO'R	c o - b r a - d o r
COBRA'NÇA	c o - b r a n - ç a
COBRA'R	c o - b r a r
CO'BRE	c o - b r e
COBRI'R	c o - b r i r
CO'BRO	c o - b r o
COBÁ'LTICO	c o - b á l - t i - c o
CO'CA	c o - c a
COCA'R	c o - c a r
COCAÍ'NA	c o - c a - í - n a
COCEGA'NTE	c o - c e - g a n - t e
COCEGA'R	c o - c e - g a r
COCEGUE'NTO	c o - c e - g u e n - t o
COCE'IRA	c o - c e i - r a
COCHA'R	c o - c h a r
COCHE'IRA	c o - c h e i - r a
COCHEIRA'L	c o - c h e i - r a l
COCHE'IRO	c o - c h e i - r o
COCHICHA'R	c o - c h i - c h a r
COCHI'CHO	c o - c h i - c h o
CO'CHO	c o - c h o
COCIE'NTE	c o - c i - e n - t e
CO'CO	c o - c o
COCOROCÓ'	c o - c o - r o - c ó
COCÔ'	c o - c ô
CODELINQUE'NTE	c o - d e - l i n - q u e n - t e
CODELINQUÊ'NCIA	c o - d e - l i n - q u ê n - c i a
CODERNI'Z	c o - d e r - n i z
CODETENTO'R	c o - d e - t e n - t o r
CODIALE'TO	c o - d i a - l e - t o
CODIFICADO'R	c o - d i - f i - c a - d o r
CODIFICA'R	c o - d i - f i - c a r
CODIRETO'R	c o - d i - r e - t o r
CODONATÁ'RIO	c o - d o - n a - t á - r i o
CODORNI'Z	c o - d o r - n i z
CODORNIZÃ'O	c o - d o r - n i - z ã o
COEDUCA'R	c o - e - d u - c a r
COEDUCATI'VO	c o - e - d u - c a - t i - v o
COEFICIE'NTE	c o - e - f i - c i - e n - t e
COEFICIÊ'NCIA	c o - e - f i - c i - ê n - c i a
COELEITO'R	c o - e - l e i - t o r
COELHA'DA	c o - e - l h a - d a
COELHE'IRA	c o - e - l h e i - r a
COELHE'IRO	c o - e - l h e i - r o
COE'LHO	c o - e - l h o
COE'NTRO	c o - e n - t r o
COERCITI'VO	c o - e r - c i - t i - v o
COERCI'VO	c o - e r - c i - v o
COERCÍ'VEL	c o - e r - c í - v e l
COERE'NTE	c o - e - r e n - t e
COERI'R	c o - e - r i r
COERÇÃ'O	c o - e r - ç ã o
COERÊ'NCIA	c o - e - r ê n - c i a
COESI'VO	c o - e - s i - v o
COE'SO	c o - e - s o
COESO'R	c o - e - s o r
COESSENCIA'L	c o - e - s s e n - c i - a l
COESSÊ'NCIA	c o - e - s s ê n - c i a
COESÃ'O	c o - e - s ã o
COETERNIDA'DE	c o - e - t e r - n i - d a - d e
COETE'RNO	c o - e - t e r - n o
COEXISTE'NTE	c o - e - x i s - t e n - t e
COEXISTI'R	c o - e - x i s - t i r
COEXISTÊ'NCIA	c o - e - x i s - t ê n - c i a
COFIA'R	c o - f i - a r
CO'FRE	c o - f r e
COGERE'NTE	c o - g e - r e n - t e
COGERÊ'NCIA	c o - g e - r ê n - c i a
COGITA'R	c o - g i - t a r
COGNITI'VO	c o g - n i - t i - v o
COGNIÇÃ'O	c o g - n i - ç ã o
COGNO'ME	c o g - n o - m e
COGNOMINA'R	c o g - n o - m i - n a r
COGUME'LO	c o - g u - m e - l o
COIBI'R	c o i - b i r
CO'ICE	c o i - c e
COICEA'R	c o i - c e - a r
CO'IFA	c o i - f a
CO'IMA	c o i - m a
COIMBRÃ'O	c o - i m - b r ã o
COIME'IRO	c o i - m e i - r o
COINCIDE'NTE	c o - i n - c i - d e n - t e
COINCIDI'R	c o - i n - c i - d i r
COINCIDÊ'NCIA	c o - i n - c i - d ê n - c i a
COINDICA'NTE	c o - i n - d i - c a n - t e
COINDICA'R	c o - i n - d i - c a r
COINQUILI'NO	c o - i n - q u i - l i - n o
COIO'TE	c o i - o - t e
CO'IRO	c o i - r o
COIRÃ'O	c o i - r ã o
CO'ISA	c o i - s a
CO'ISO	c o i - s o
COISÍ'SSIMA	c o i - s í - s s i - m a
COITA'DO	c o i - t a - d o
COITA'R	c o i - t a r
COITARI'A	c o i - t a - r i - a
COITE'IRO	c o i - t e i - r o
CO'ITO	c o i - t o
CO'LA	c o - l a
COLABORA'R	c o - l a - b o - r a r
COLABORATI'VO	c o - l a - b o - r a - t i - v o
COLABORAÇÃ'O	c o - l a - b o - r a - ç ã o
COLADO'R	c o - l a - d o r
COLA'GEM	c o - l a - g e m
COLAPSA'R	c o - l a p - s a r
COLA'PSO	c o - l a p - s o
COLA'R	c o - l a r
COLARI'NHO	c o - l a - r i - n h o
COLATERA'L	c o - l a - t e - r a l
COLATERALIDA'DE	c o - l a - t e - r a - l i - d a - d e
COLATITU'DE	c o - l a - t i - t u - d e
COLATI'VO	c o - l a - t i - v o
CO'LCHA	c o l - c h a
COLCHE'IA	c o l - c h e i - a
COLCHE'IRO	c o l - c h e i - r o
COLCHE'TA	c o l - c h e - t a
COLCHE'TE	c o l - c h e - t e
COLCHETEA'R	c o l - c h e - t e - a r
COLCHOA'R	c o l - c h o - a r
COLCHOARI'A	c o l - c h o - a - r i - a
COLCHOE'IRO	c o l - c h o - e i - r o
COLCHÃ'O	c o l - c h ã o
CO'LDRE	c o l - d r e
COLECIONADO'R	c o - l e - c i o - n a - d o r
COLECIONA'R	c o - l e - c i o - n a r
COLE'GA	c o - l e - g a
COLEGATÁ'RIO	c o - l e - g a - t á - r i o
COLEGIA'L	c o - l e - g i - a l
COLEGIATU'RA	c o - l e - g i a - t u - r a
COLEGUI'SMO	c o - l e - g u i s - m o
COLE'IRA	c o - l e i - r a
COLEIRA'DO	c o - l e i - r a - d o
COLESTERO'L	c o - l e s - t e - r o l
COLE'TA	c o - l e - t a
COLETA'R	c o - l e - t a r
COLE'TE	c o - l e - t e
COLETE'IRO	c o - l e - t e i - r o
COLETIVIDA'DE	c o - l e - t i - v i - d a - d e
COLETI'VO	c o - l e - t i - v o
COLETO'R	c o - l e - t o r
COLETORI'A	c o - l e - t o - r i - a
COLETÂ'NEA	c o - l e - t â - n e - a
COLETÂ'NEO	c o - l e - t â - n e - o
COLEÇÃ'O	c o - l e - ç ã o
COLHE'ITA	c o - l h e i - t a
COLHE'R	c o - l h e r
COLHERA'DA	c o - l h e - r a - d a
COLHERA'ÇA	c o - l h e - r a - ç a
COLHERÃ'O	c o - l h e - r ã o
COLIBRI'	c o - l i - b r i
COLICITA'NTE	c o - l i - c i - t a n - t e
COLIDI'R	c o - l i - d i r
COLIGA'R	c o - l i - g a r
COLIGATI'VO	c o - l i - g a - t i - v o
COLIGI'R	c o - l i - g i r
COLI'NA	c o - l i - n a
COLINEA'R	c o - l i - n e - a r
COLINO'SO	c o - l i - n o - s o
COLISE'U	c o - l i - s e u
COLISÃ'O	c o - l i - s ã o
COLI'TE	c o - l i - t e
COLITIGA'NTE	c o - l i - t i - g a n - t e
COLITIGA'R	c o - l i - t i - g a r
COLMA'DO	c o l - m a - d o
COLMA'R	c o l - m a r
COLMATA'GEM	c o l - m a - t a - g e m
COLMATA'R	c o l - m a - t a r
COLMAÇA'R	c o l - m a - ç a r
COLMA'ÇO	c o l - m a - ç o
COLMEA'L	c o l - m e - a l
COLMEE'IRO	c o l - m e - e i - r o
COLME'IA	c o l - m e i - a
COLME'IRO	c o l - m e i - r o
CO'LMO	c o l - m o
CO'LO	c o - l o
COLOCADO'R	c o - l o - c a - d o r
COLOCA'R	c o - l o - c a r
COLOGARI'TMO	c o - l o - g a - r i t - m o
COLOIDA'L	c o - l o i - d a l
COLO'IDE	c o - l o i - d e
COLOMBIA'NO	c o - l o m - b i - a - n o
COLONA'TO	c o - l o - n a - t o
COLONIA'L	c o - l o - n i - a l
COLONI'STA	c o - l o - n i s - t a
COLONIZADO'R	c o - l o - n i - z a - d o r
COLONIZA'R	c o - l o - n i - z a r
COLONIZAÇÃ'O	c o - l o - n i - z a - ç ã o
COLO'NO	c o - l o - n o
COLOQUIA'L	c o - l o - q u i - a l
COLORA'NTE	c o - l o - r a n - t e
COLORA'R	c o - l o - r a r
COLORA'U	c o - l o - r a u
COLOREA'R	c o - l o - r e - a r
COLORI'DO	c o - l o - r i - d o
COLORIMETRI'A	c o - l o - r i - m e - t r i - a
COLORI'R	c o - l o - r i r
COLORIZAÇÃ'O	c o - l o - r i - z a - ç ã o
COLORÍ'FICO	c o - l o - r í - f i - c o
COLORÍ'METRO	c o - l o - r í - m e - t r o
COLOSSA'L	c o - l o - s s a l
COLOSSALIDA'DE	c o - l o - s s a - l i - d a - d e
COLO'SSO	c o - l o - s s o
COLUMBI'NO	c o - l u m - b i - n o
COLUMBOFILI'A	c o - l u m - b o - f i - l i - a
COLU'NA	c o - l u - n a
COLUNA'R	c o - l u - n a r
COLUNA'TA	c o - l u - n a - t a
COLUNÁ'VEL	c o - l u - n á - v e l
COLÉ'GIO	c o - l é - g i o
COLÉ'RICO	c o - l é - r i - c o
COLÓ'QUIO	c o - l ó - q u i o
COLÔ'NIA	c o - l ô - n i a
COM	c o m
CO'MA	c o - m a
COMA'DRE	c o - m a - d r e
COMADRI'CE	c o - m a - d r i - c e
COMADRI'O	c o - m a - d r i - o
COMA'NCHES	c o - m a n - c h e s
COMANDA'NTE	c o - m a n - d a n - t e
COMANDA'R	c o - m a n - d a r
COMA'NDO	c o - m a n - d o
COMA'RCA	c o - m a r - c a
COMBALI'R	c o m - b a - l i r
COMBA'TE	c o m - b a - t e
COMBATE'NTE	c o m - b a - t e n - t e
COMBATE'R	c o m - b a - t e r
COMBATIVIDA'DE	c o m - b a - t i - v i - d a - d e
COMBATI'VO	c o m - b a - t i - v o
COMBINACIONA'L	c o m - b i - n a - c i o - n a l
COMBINADO'R	c o m - b i - n a - d o r
COMBINA'R	c o m - b i - n a r
COMBINATÓ'RIO	c o m - b i - n a - t ó - r i o
COMBINAÇÃ'O	c o m - b i - n a - ç ã o
COMBO'IO	c o m - b o i - o
COMBONIA'NO	c o m - b o - n i - a - n o
COMBUSTI'VO	c o m - b u s - t i - v o
COMBUSTÃ'O	c o m - b u s - t ã o
COMBUSTÍ'VEL	c o m - b u s - t í - v e l
CO'ME	c o - m e
COMEDE'IRA	c o - m e - d e i - r a
COMEDE'IRO	c o - m e - d e i - r o
COMEDIA'NTE	c o - m e - d i - a n - t e
COMEDI'DO	c o - m e - d i - d o
COMEDI'R	c o - m e - d i r
COMEDIÓ'GRAFO	c o - m e - d i - ó - g r a - f o
COMEDO'IRO	c o - m e - d o i - r o
COMEDO'R	c o - m e - d o r
COMEDO'URO	c o - m e - d o u - r o
COMEMORA'R	c o - m e - m o - r a r
COMEMORATI'VO	c o - m e - m o - r a - t i - v o
COME'NDA	c o - m e n - d a
COMENDADO'R	c o - m e n - d a - d o r
COMENDATÁ'RIO	c o - m e n - d a - t á - r i o
COMENDATÓ'RIO	c o - m e n - d a - t ó - r i o
COMENSA'L	c o - m e n - s a l
COMENSALIDA'DE	c o - m e n - s a - l i - d a - d e
COMENSURABILIDA'DE	c o - m e n - s u - r a - b i - l i - d a - d e
COMENSURA'R	c o - m e n - s u - r a r
COMENTADO'R	c o - m e n - t a - d o r
COMENTA'R	c o - m e n - t a r
COMENTARI'STA	c o - m e n - t a - r i s - t a
COME'NTO	c o - m e n - t o
COMENTÁ'RIO	c o - m e n - t á - r i o
COME'R	c o - m e r
COMERCIA'L	c o - m e r - c i - a l
COMERCIALIZA'R	c o - m e r - c i a - l i - z a r
COMERCIA'NTE	c o - m e r - c i - a n - t e
COMERCIA'R	c o - m e r - c i - a r
COMERE'TE	c o - m e - r e - t e
CO'MES	c o - m e s
COMESTÍ'VEL	c o - m e s - t í - v e l
COME'TA	c o - m e - t a
COMETA'R	c o - m e - t a r
COMETE'NTE	c o - m e - t e n - t e
COMETE'R	c o - m e - t e r
COMETI'DA	c o - m e - t i - d a
COMETÁ'RIO	c o - m e - t á - r i o
COMEZA'INA	c o - m e - z a i - n a
COMEZI'NHO	c o - m e - z i - n h o
COMEÇA'R	c o - m e - ç a r
COME'ÇO	c o - m e - ç o
COMICHE'NTO	c o - m i - c h e n - t o
COMICHO'NA	c o - m i - c h o - n a
COMICHO'SO	c o - m i - c h o - s o
COMICHÃ'O	c o - m i - c h ã o
COMICIA'L	c o - m i - c i - a l
COMICIDA'DE	c o - m i - c i - d a - d e
COMICIE'IRO	c o - m i - c i - e i - r o
COMI'DA	c o - m i - d a
COMI'GO	c o - m i - g o
COMILA'NÇA	c o - m i - l a n - ç a
COMILÃ'O	c o - m i - l ã o
COMI'NHO	c o - m i - n h o
COMISERA'R	c o - m i - s e - r a r
COMISERATI'VO	c o - m i - s e - r a - t i - v o
COMISSARIA'DO	c o - m i - s s a - r i - a - d o
COMISSARIA'R	c o - m i - s s a - r i a r
COMISSIONA'R	c o - m i - s s i o - n a r
COMISSIONI'STA	c o - m i - s s i o - n i s - t a
COMISSÁ'RIO	c o - m i - s s á - r i o
COMISSÃ'O	c o - m i - s s ã o
COMITI'VA	c o - m i - t i - v a
COMITÉ'	c o - m i - t é
CO'MO	c o - m o
COMOCIONA'L	c o - m o - c i o - n a l
COMOCIONA'R	c o - m o - c i o - n a r
COMODAME'NTE	c o - m o - d a - m e n - t e
COMODIDA'DE	c o - m o - d i - d a - d e
COMODI'SMO	c o - m o - d i s - m o
COMODI'STA	c o - m o - d i s - t a
COMODO'RO	c o - m o - d o - r o
COMOTIVIDA'DE	c o - m o - t i - v i - d a - d e
COMOVEDO'R	c o - m o - v e - d o r
COMOVE'NTE	c o - m o - v e n - t e
COMOVE'R	c o - m o - v e r
COMOÇÃ'O	c o - m o - ç ã o
COMPACTA'R	c o m - p a c - t a r
COMPACTIDA'DE	c o m - p a c - t i - d a - d e
COMPA'CTO	c o m - p a c - t o
COMPACTUA'R	c o m - p a c - t u - a r
COMPADECE'R	c o m - p a - d e - c e r
COMPADRA'DO	c o m - p a - d r a - d o
COMPADRA'R	c o m - p a - d r a r
COMPA'DRE	c o m - p a - d r e
COMPADRI'CE	c o m - p a - d r i - c e
COMPADRI'O	c o m - p a - d r i - o
COMPAGINA'R	c o m - p a - g i - n a r
COMPAIXÃ'O	c o m - p a i - x ã o
COMPANHEIRI'SMO	c o m - p a - n h e i - r i s - m o
COMPANHE'IRO	c o m - p a - n h e i - r o
COMPANHEIRÃ'O	c o m - p a - n h e i - r ã o
COMPANHI'A	c o m - p a - n h i - a
COMPARABILIDA'DE	c o m - p a - r a - b i - l i - d a - d e
COMPARADO'R	c o m - p a - r a - d o r
COMPARA'R	c o m - p a - r a r
COMPARATI'VO	c o m - p a - r a - t i - v o
COMPARAÇÃ'O	c o m - p a - r a - ç ã o
COMPARECE'NTE	c o m - p a - r e - c e n - t e
COMPARECE'R	c o m - p a - r e - c e r
COMPARECÊ'NCIA	c o m - p a - r e - c ê n - c i a
COMPA'RSA	c o m - p a r - s a
COMPA'RTE	c o m - p a r - t e
COMPARTICIPA'R	c o m - p a r - t i - c i - p a r
COMPARTICIPAÇÃ'O	c o m - p a r - t i - c i - p a - ç ã o
COMPARTI'LHA	c o m - p a r - t i - l h a
COMPARTILHA'NTE	c o m - p a r - t i - l h a n - t e
COMPARTILHA'R	c o m - p a r - t i - l h a r
COMPARTIMENTAÇÃ'O	c o m - p a r - t i - m e n - t a - ç ã o
COMPARTI'R	c o m - p a r - t i r
COMPARÊ'NCIA	c o m - p a - r ê n - c i a
COMPASSADAME'NTE	c o m - p a - s s a - d a - m e n - t e
COMPASSA'R	c o m - p a - s s a r
COMPASSIVIDA'DE	c o m - p a - s s i - v i - d a - d e
COMPASSI'VO	c o m - p a - s s i - v o
COMPA'SSO	c o m - p a - s s o
COMPASSÍ'VEL	c o m - p a - s s í - v e l
COMPATERNIDA'DE	c o m - p a - t e r - n i - d a - d e
COMPATIBILIDA'DE	c o m - p a - t i - b i - l i - d a - d e
COMPATIBILIZA'R	c o m - p a - t i - b i - l i - z a r
COMPATRIO'TA	c o m - p a - t r i - o - t a
COMPATRÍ'CIO	c o m - p a - t r í - c i o
COMPATÍ'VEL	c o m - p a - t í - v e l
COMPELATI'VO	c o m - p e - l a - t i - v o
COMPELAÇÃ'O	c o m - p e - l a - ç ã o
COMPELI'DO	c o m - p e - l i - d o
COMPELI'R	c o m - p e - l i r
COMPENETRADAME'NTE	c o m - p e - n e - t r a - d a - m e n - t e
COMPENETRA'R	c o m - p e - n e - t r a r
COMPENSACIONI'SMO	c o m - p e n - s a - c i o - n i s - m o
COMPENSADO'R	c o m - p e n - s a - d o r
COMPENSA'R	c o m - p e n - s a r
COMPENSATI'VO	c o m - p e n - s a - t i - v o
COMPENSATÓ'RIO	c o m - p e n - s a - t ó - r i o
COMPETE'NTE	c o m - p e - t e n - t e
COMPETI'R	c o m - p e - t i r
COMPETITI'VO	c o m - p e - t i - t i - v o
COMPETIÇÃ'O	c o m - p e - t i - ç ã o
COMPETÊ'NCIA	c o m - p e - t ê n - c i a
COMPILADO'R	c o m - p i - l a - d o r
COMPILA'R	c o m - p i - l a r
COMPILATÓ'RIO	c o m - p i - l a - t ó - r i o
COMPLACE'NTE	c o m - p l a - c e n - t e
COMPLACÊ'NCIA	c o m - p l a - c ê n - c i a
COMPLANA'R	c o m - p l a - n a r
COMPLEICIONA'L	c o m - p l e i - c i o - n a l
COMPLEIÇOA'DO	c o m - p l e i - ç o - a - d o
COMPLEIÇÃ'O	c o m - p l e i - ç ã o
COMPLEMENTA'R	c o m - p l e - m e n - t a r
COMPLEME'NTO	c o m - p l e - m e n - t o
COMPLEMENTÁ'RIO	c o m - p l e - m e n - t á - r i o
COMPLETA'R	c o m - p l e - t a r
COMPLETI'VO	c o m - p l e - t i - v o
COMPLE'TO	c o m - p l e - t o
COMPLETU'DE	c o m - p l e - t u - d e
COMPLETÓ'RIO	c o m - p l e - t ó - r i o
COMPLEXA'DO	c o m - p l e - x a - d o
COMPLEXIDA'DE	c o m - p l e - x i - d a - d e
COMPLEXIDÃ'O	c o m - p l e - x i - d ã o
COMPLE'XO	c o m - p l e - x o
COMPLEXÃ'O	c o m - p l e - x ã o
COMPLICADO'R	c o m - p l i - c a - d o r
COMPLICA'R	c o m - p l i - c a r
COMPONE'NTE	c o m - p o - n e n - t e
COMPONÍ'VEL	c o m - p o - n í - v e l
COMPO'R	c o m - p o r
COMPO'RTA	c o m - p o r - t a
COMPORTAMENTA'L	c o m - p o r - t a - m e n - t a l
COMPORTA'R	c o m - p o r - t a r
COMPOSICIONA'L	c o m - p o - s i - c i o - n a l
COMPOSITI'VO	c o m - p o - s i - t i - v o
COMPOSITO'R	c o m - p o - s i - t o r
COMPOSIÇÃ'O	c o m - p o - s i - ç ã o
COMPOSSESSO'R	c o m - p o - s s e - s s o r
COMPOSTA'GEM	c o m - p o s - t a - g e m
COMPOSTELA'NO	c o m - p o s - t e - l a - n o
COMPO'STO	c o m - p o s - t o
COMPOSTU'RA	c o m - p o s - t u - r a
COMPO'TA	c o m - p o - t a
COMPOTE'IRA	c o m - p o - t e i - r a
CO'MPRA	c o m - p r a
COMPRADI'ÇO	c o m - p r a - d i - ç o
COMPRA'R	c o m - p r a r
COMPRATI'VO	c o m - p r a - t i - v o
COMPRATÓ'RIO	c o m - p r a - t ó - r i o
COMPRAZE'R	c o m - p r a - z e r
COMPREENDE'R	c o m - p r e - e n - d e r
COMPREENSI'VO	c o m - p r e - e n - s i - v o
COMPREENSO'R	c o m - p r e - e n - s o r
COMPREENSÃ'O	c o m - p r e - e n - s ã o
COMPREENSÍ'VEL	c o m - p r e - e n - s í - v e l
COMPRE'SSA	c o m - p r e - s s a
COMPRESSIBILIDA'DE	c o m - p r e - s s i - b i - l i - d a - d e
COMPRESSI'VO	c o m - p r e - s s i - v o
COMPRE'SSO	c o m - p r e - s s o
COMPRESSO'R	c o m - p r e - s s o r
COMPRESSÃ'O	c o m - p r e - s s ã o
COMPRESSÍ'VEL	c o m - p r e - s s í - v e l
COMPRESSÓ'RIO	c o m - p r e - s s ó - r i o
COMPRI'DO	c o m - p r i - d o
COMPRIDÃ'O	c o m - p r i - d ã o
COMPRIME'NTE	c o m - p r i - m e n - t e
COMPRIME'NTO	c o m - p r i - m e n - t o
COMPRIMI'R	c o m - p r i - m i r
COMPROBATÓ'RIO	c o m - p r o - b a - t ó - r i o
COMPROMETEDO'R	c o m - p r o - m e - t e - d o r
COMPROMETE'R	c o m - p r o - m e - t e r
COMPROMISSI'VO	c o m - p r o - m i - s s i - v o
COMPROMI'SSO	c o m - p r o - m i - s s o
COMPROMISSÓ'RIO	c o m - p r o - m i - s s ó - r i o
COMPROVADO'R	c o m - p r o - v a - d o r
COMPROVA'NTE	c o m - p r o - v a n - t e
COMPROVA'R	c o m - p r o - v a r
COMPROVATI'VO	c o m - p r o - v a - t i - v o
COMPULSA'R	c o m - p u l - s a r
COMPULSI'VO	c o m - p u l - s i - v o
COMPULSÃ'O	c o m - p u l - s ã o
COMPULSÓ'RIA	c o m - p u l - s ó - r i a
COMPULSÓ'RIO	c o m - p u l - s ó - r i o
COMPUNGI'R	c o m - p u n - g i r
COMPUNGITI'VO	c o m - p u n - g i - t i - v o
COMPUNÇÃ'O	c o m - p u n - ç ã o
COMPUTACIONA'L	c o m - p u - t a - c i o - n a l
COMPUTADO'R	c o m - p u - t a - d o r
COMPUTA'R	c o m - p u - t a r
COMPUTORIZA'R	c o m - p u - t o - r i - z a r
COMPÊ'NDIO	c o m - p ê n - d i o
COMPÓ'SITO	c o m - p ó - s i - t o
COMU'M	c o - m u m
COMU'NA	c o - m u - n a
COMUNA'L	c o - m u - n a l
COMUNGA'NTE	c o - m u n - g a n - t e
COMUNGA'R	c o - m u n - g a r
COMUNHÃ'O	c o - m u - n h ã o
COMUNIA'L	c o - m u - n i a l
COMUNICABILIDA'DE	c o - m u - n i - c a - b i - l i - d a - d e
COMUNICA'DO	c o - m u - n i - c a - d o
COMUNICA'NTE	c o - m u - n i - c a n - t e
COMUNICA'R	c o - m u - n i - c a r
COMUNICATI'VO	c o - m u - n i - c a - t i - v o
COMUNICAÇÃ'O	c o - m u - n i - c a - ç ã o
COMUNIDA'DE	c o - m u - n i - d a - d e
COMUNI'SMO	c o - m u - n i s - m o
COMUNI'STA	c o - m u - n i s - t a
COMUNITARIZA'R	c o - m u - n i - t a - r i - z a r
COMUNITÁ'RIO	c o - m u - n i - t á - r i o
COMU'NS	c o - m u n s
COMUTA'R	c o - m u - t a r
COMUTATI'VO	c o - m u - t a - t i - v o
COMÉ'DIA	c o - m é - d i a
COMÉ'RCIO	c o - m é r - c i o
COMÍ'CIO	c o - m í - c i o
CONATURA'L	c o - n a - t u - r a l
CONCATENA'R	c o n - c a - t e - n a r
CONCAVIDA'DE	c o n - c a - v i - d a - d e
CONCEBE'R	c o n - c e - b e r
CONCECIONA'L	c o n - c e - c i o - n a l
CONCECIONÁ'RIO	c o n - c e - c i o - n á - r i o
CONCEDE'NTE	c o n - c e - d e n - t e
CONCEDE'R	c o n - c e - d e r
CONCE'ITO	c o n - c e i - t o
CONCEITUA'R	c o n - c e i - t u - a r
CONCEITUO'SO	c o n - c e i - t u - o - s o
CONCELEBRA'NTE	c o n - c e - l e - b r a n - t e
CONCELEBRA'R	c o n - c e - l e - b r a r
CONCELHE'IRO	c o n - c e - l h e i - r o
CONCELHI'O	c o n - c e - l h i - o
CONCE'LHO	c o n - c e - l h o
CONCENTRACIONÁ'RIO	c o n - c e n - t r a - c i o - n á - r i o
CONCENTRADO'R	c o n - c e n - t r a - d o r
CONCENTRALIZAÇÃ'O	c o n - c e n - t r a - l i - z a - ç ã o
CONCENTRA'R	c o n - c e n - t r a r
CONCENTRAÇÃ'O	c o n - c e n - t r a - ç ã o
CONCENTRICIDA'DE	c o n - c e n - t r i - c i - d a - d e
CONCENTRI'SMO	c o n - c e n - t r i s - m o
CONCEPTIBILIDA'DE	c o n - c e p - t i - b i - l i - d a - d e
CONCEPTI'SMO	c o n - c e p - t i s - m o
CONCEPTI'STA	c o n - c e p - t i s - t a
CONCEPTI'VA	c o n - c e p - t i - v a
CONCEPTUA'L	c o n - c e p - t u - a l
CONCEPTUALIZA'R	c o n - c e p - t u a - l i - z a r
CONCEPTÁ'CULO	c o n - c e p - t á - c u - l o
CONCEPTÍ'VEL	c o n - c e p - t í - v e l
CONCERNE'NTE	c o n - c e r - n e n - t e
CONCERNI'R	c o n - c e r - n i r
CONCERNÊ'NCIA	c o n - c e r - n ê n - c i a
CONCERTADAME'NTE	c o n - c e r - t a - d a - m e n - t e
CONCERTADO'R	c o n - c e r - t a - d o r
CONCERTA'NTE	c o n - c e r - t a n - t e
CONCERTA'R	c o n - c e r - t a r
CONCERTI'NA	c o n - c e r - t i - n a
CONCERTI'NO	c o n - c e r - t i - n o
CONCE'RTO	c o n - c e r - t o
CONCESSIONA'R	c o n - c e - s s i o - n a r
CONCESSIONÁ'RIO	c o n - c e - s s i o - n á - r i o
CONCESSI'VO	c o n - c e - s s i - v o
CONCESSO'R	c o n - c e - s s o r
CONCESSÃ'O	c o n - c e - s s ã o
CONCESSÍ'VEL	c o n - c e - s s í - v e l
CONCESSÓ'RIO	c o n - c e - s s ó - r i o
CONCETIBILIDA'DE	c o n - c e - t i - b i - l i - d a - d e
CONCETI'SMO	c o n - c e - t i s - m o
CONCETI'STA	c o n - c e - t i s - t a
CONCETI'VA	c o n - c e - t i - v a
CONCETI'VO	c o n - c e - t i - v o
CONCETUA'L	c o n - c e - t u - a l
CONCETUALIZA'R	c o n - c e - t u a - l i - z a r
CONCETÁ'CULO	c o n - c e - t á - c u - l o
CONCETÍ'VEL	c o n - c e - t í - v e l
CONCEÇÃ'O	c o n - c e - ç ã o
CO'NCHA	c o n - c h a
CONCHA'DA	c o n - c h a - d a
CONCHA'DO	c o n - c h a - d o
CONCHARI'A	c o n - c h a - r i - a
CONCHEGA'R	c o n - c h e - g a r
CONCHEGATI'VO	c o n - c h e - g a - t i - v o
CONCHE'GO	c o n - c h e - g o
CO'NCHO	c o n - c h o
CONCHO'IDE	c o n - c h o i - d e
CONCHO'SO	c o n - c h o - s o
CONCHU'DO	c o n - c h u - d o
CONCIDADANI'A	c o n - c i - d a - d a - n i - a
CONCIDADÃ'O	c o n - c i - d a - d ã o
CONCILIADO'R	c o n - c i - l i a - d o r
CONCILIA'NTE	c o n - c i - l i - a n - t e
CONCILIA'R	c o n - c i - l i - a r
CONCILIATI'VO	c o n - c i - l i a - t i - v o
CONCILIATÓ'RIO	c o n - c i - l i a - t ó - r i o
CONCILIÁ'RIO	c o n - c i - l i - á - r i o
CONCI'SO	c o n - c i - s o
CONCISÃ'O	c o n - c i - s ã o
CONCITA'R	c o n - c i - t a r
CONCLA'VE	c o n - c l a - v e
CONCLUDE'NTE	c o n - c l u - d e n - t e
CONCLUDÊ'NCIA	c o n - c l u - d ê n - c i a
CONCLUI'R	c o n - c l u - i r
CONCLUSI'VO	c o n - c l u - s i - v o
