A	a
BOCHECHAR	b o S e S a X
BOCHECHO	b o S e S u
BOCHECHUDO	b o S e S u d u
BOCHECHÃO	b o S e S a~ w~
BOCUDO	b o k u d u
BODA	b O d a
BODE	b O dZ i
BODEGA	b o d E g a
BODEGADA	b o d e g a d a
BODEGUEIRO	b o d e g ej r u
BODEGÃO	b o d e g a~ w~
BOFETADA	b o f e t a d a
BOFETE	b o f E tS i
BOFETEAR	b o f e t e a X
BOFETÃO	b o f e t a~ w~
BOGA	b O g a
BOI	b o j
BOIA	b o j a
BOIADA	b o j a d a
BOIANTE	b o j a~ tS i
BOIAR	b o j a X
BOIARDO	b o j a R d u
BOICOTAGEM	b o j k o t a Z e~j~
BOICOTAR	b o j k o t a X
BOICOTEAR	b o j k o t e a X
BOIEIRA	b o j ej r a
BOIEIRO	b o j ej r u
BOINA	b o i~ n a
BOIÃO	b o j a~ w~
BOJADOR	b o Z a d o X
BOJADURA	b o Z a d u r a
BOJANTE	b o Z a~ tS i
BOJANÇA	b o Z a~ s a
BOJAR	b o Z a X
BOJARDA	b o Z a R d a
BOJO	b o Z u
BOJUDO	b o Z u d u
BOLA	b O l a
BOLACHA	b o l a S a
BOLACHADA	b o l a S a d a
BOLACHEIRO	b o l a S ej r u
BOLACHEIRONA	b o l a S e j r o~ n a
BOLACHUDO	b o l a S u d u
BOLADA	b o l a d a
BOLAR	b o l a X
BOLBO	b o w b u
BOLBOSO	b o w b o z u
BOLCHEVIQUE	b o w S e v i k i
BOLCHEVISMO	b o w S e v i z m u
BOLCHEVISTA	b o w S e v i s t a
BOLCHEVIZANTE	b o w S e v i z a~ tS i
BOLCHEVIZAR	b o w S e v i z a X
BOLEIA	b o l E j a
BOLEIRO	b o l ej r u
BOLERO	b o l E r u
BOLETIM	b o l e tS i~
BOLETINEIRO	b o l e tS i~ n ej r u
BOLHA	b o L a
BOLHANTE	b o L a~ tS i
BOLHAR	b o L a X
BOLHENTO	b o L e~ t u
BOLHOSO	b o L o z u
BOLHÃO	b o L a~ w~
BOLINA	b o l i~ n a
BOLINAR	b o l i~ n a X
BOLINEIRO	b o l i~ n ej r u
BOLIVIANO	b o l i v i a~ n u
BOLO	b o l u
BOLONHÊS	b o l o J e js
BOLOR	b o l o X
BOLORECER	b o l o r e s e X
BOLORENTO	b o l o r e~ t u
BOLORÊNCIA	b o l o r e~ s i a
BOLOS	b o l u s
BOLOTA	b o l O t a
BOLOTADA	b o l o t a d a
BOLSA	b o w s a
BOLSADA	b o w s a d a
BOLSAR	b o w s a X
BOLSEIRO	b o w s ej r u
BOLSO	b o w s u
BOLSÃO	b o w s a~ w~
BOM	b o~
BOMBA	b o~ b a
BOMBACHO	b o~ b a S u
BOMBADA	b o~ b a d a
BOMBAGEM	b o~ b a Z e~j~
BOMBARATO	b o~ b a r a t u
BOMBARDEAR	b o~ b a R d e a X
BOMBARDEIO	b o~ b a R d ej u
BOMBARDEIRA	b o~ b a R d ej r a
BOMBARDEIRO	b o~ b a R d ej r u
BOMBAS	b o~ b a js
BOMBEAR	b o~ b e a X
BOMBEIRO	b o~ b ej r u
BOMBO	b o~ b u
BOMBOM	b o~ b o~
BOMBORDO	b o~ b O R d u
BOMBÁSTICO	b o~ b a s tS i k u
BONACHEIRICE	b o n a S e j r i s i
BONACHEIRÃO	b o n a S e j r a~ w~
BONANÇA	b o n a~ s a
BONANÇOSO	b o n a~ s o z u
BONDADE	b o~ d a dZ i
BONDE	b o~ dZ i
BONDOSO	b o~ d o z u
BONECA	b o n E k a
BONECADA	b o n e k a d a
BONECO	b o n E k u
BONEQUEIRO	b o n e k ej r u
BONIFICAR	b o n i f i k a X
BONITEZA	b o n i t e z a
BONITO	b o n i t u
BONITOTE	b o n i t O tS i
BONOMIA	b o n o m i a
BONS	b o~ s
BONÉ	b o n E
BONÍSSIMO	b o n i s i~ m u
BOOLEANO	b o o l e a~ n u
BOQUEIRA	b o k ej r a
BOQUEIRÃO	b o k e j r a~ w~
BOQUIABERTO	b o k i a b E X t u
BOQUILHA	b o k i L a
BORBOLETA	b o R b o l e t a
BORBOLETEAR	b o R b o l e t e a X
BORBOREJAR	b o R b o r e Z a X
BORBOTAR	b o R b o t a X
BORBOTO	b o R b O t u
BORBULHA	b o R b u L a
BORBULHAGEM	b o R b u L a Z e~j~
BORBULHANTE	b o R b u L a~ tS i
BORBULHAR	b o R b u L a X
BORBULHAÇO	b o R b u L a s u
BORBULHENTO	b o R b u L e~ t u
BORBULHOSO	b o R b u L o z u
BORBULHÃO	b o R b u L a~ w~
BORDA	b O R d a
BORDADEIRA	b o R d a d ej r a
BORDADO	b o R d a d u
BORDADOR	b o R d a d o X
BORDADURA	b o R d a d u r a
BORDALENSE	b o R d a l e~ s i
BORDALÊS	b o R d a l e js
BORDAR	b o R d a X
BORDEL	b o R d E w
BORDELEIRO	b o R d e l ej r u
BORDO	b O R d u
BORDOEIRA	b o R d o ej r a
BORDÃO	b o R d a~ w~
BORDÉUS	b o R d E u s
BOREAL	b o r e a w
BORGONHA	b o R g o~ J a
BORGONHÊS	b o R g o J e js
BORGUISTA	b o R g i s t a
BORLA	b O R l a
BORLADO	b o R l a d u
BORO	b O r u
BOROA	b o r o a
BORRA	b O R a
BORRACHA	b o R a S a
BORRACHEIRA	b o R a S ej r a
BORRACHO	b o R a S u
BORRACHUDO	b o R a S u d u
BORRACHÃO	b o R a S a~ w~
BORRADA	b o R a d a
BORRADELA	b o R a d E l a
BORRADOR	b o R a d o X
BORRADURA	b o R a d u r a
BORRALHEIRA	b o R a L ej r a
BORRALHEIRO	b o R a L ej r u
BORRALHENTO	b o R a L e~ t u
BORRAR	b o R a X
BORRASCA	b o R a s k a
BORRASCOSO	b o R a s k o z u
BORRASQUEIRO	b o R a s k ej r u
BORRATADA	b o R a t a d a
BORRATAR	b o R a t a X
BORRATÃO	b o R a t a~ w~
BORREGADA	b o R e g a d a
BORREGAR	b o R e g a X
BORREGO	b o R e g u
BORREGUEIRO	b o R e g ej r u
BORRENTO	b o R e~ t u
BORRIFADELA	b o R i f a d E l a
BORRIFADOR	b o R i f a d o X
BORRIFAR	b o R i f a X
BORRIFO	b o R i f u
BORRÃO	b o R a~ w~
BOSQUE	b O s k i
BOSQUÍMANO	b o s k i m a n u
BOSSA	b O s a
BOSTA	b O s t a
BOSTAL	b o s t a w
BOSTAR	b o s t a X
BOSTEIRA	b o s t ej r a
BOSTEIRO	b o s t ej r u
BOSÃO	b o z a~ w~
BOTA	b O t a
BOTAR	b o t a X
BOTAS	b O t a js
BOTE	b O tS i
BOTELHARIA	b o t e L a r i a
BOTELHEIRO	b o t e L ej r u
BOTEQUIM	b o t e k i~
BOTEQUINEIRO	b o t e k i~ n ej r u
BOTICA	b o tS i k a
BOTICÁRIA	b o tS i k a r i a
BOTICÁRIO	b o tS i k a r i u
BOTIJA	b o tS i Z a
BOTIM	b o tS i~
BOTINA	b o tS i~ n a
BOTOARIA	b o t o a r i a
BOTOEIRA	b o t o ej r a
BOTOEIRO	b o t o ej r u
BOTÂNICA	b o t a~ n i k a
BOTÂNICO	b o t a~ n i k u
BOTÃO	b o t a~ w~
BOUÇA	b ow s a
BOUÇAR	b ow s a X
BOVINO	b o v i~ n u
BOVÍDEO	b o v i d e u
BOXE	b O k s i
BOXEADOR	b o k s e a d o X
BOÇAL	b o s a w
BOÇALIDADE	b o s a l i d a dZ i
BOÉMIA	b o E m i a
BOÉMIO	b o E m i u
BRACAMARTE	b r a k a m a X tS i
BRACARENSE	b r a k a r e~ s i
BRACEAR	b r a s e a X
BRACEIRO	b r a s ej r u
BRACEJAR	b r a s e Z a X
BRACEJO	b r a s e Z u
BRACELEIRA	b r a s e l ej r a
BRACELETE	b r a s e l e tS i
BRADADOS	b r a d a d u s
BRADAR	b r a d a X
BRADEJAR	b r a d e Z a X
BRADICARDIA	b r a dZ i k a R dZ i a
BRADO	b r a d u
BRAGANCÊS	b r a g a~ s e js
BRAGANÇANO	b r a g a~ s a~ n u
BRAGANÇÃO	b r a g a~ s a~ w~
BRAGUILHA	b r a g i L a
BRAGUÊS	b r a g e js
BRAMA	b r a~ m a
BRAMANISMO	b r a m a n i z m u
BRAMAR	b r a m a X
BRAMIDO	b r a m i d u
BRAMIR	b r a m i X
BRAMISMO	b r a m i z m u
BRAMÂNICO	b r a m a~ n i k u
BRANCA	b r a~ k a
BRANCACENTO	b r a~ k a s e~ t u
BRANCAL	b r a~ k a w
BRANCO	b r a~ k u
BRANCOR	b r a~ k o X
BRANCURA	b r a~ k u r a
BRANDE	b r a~ dZ i
BRANDIR	b r a~ dZ i X
BRANDO	b r a~ d u
BRANDURA	b r a~ d u r a
BRANQUEADOR	b r a~ k e a d o X
BRANQUEADURA	b r a~ k e a d u r a
BRANQUEAR	b r a~ k e a X
BRANQUEIO	b r a~ k ej u
BRANQUEJANTE	b r a~ k e Z a~ tS i
BRANQUEJAR	b r a~ k e Z a X
BRANQUIADO	b r a~ k i a d u
BRANQUIAL	b r a~ k i a w
BRANQUIDÃO	b r a~ k i d a~ w~
BRAQUIAL	b r a k i a w
BRAQUICÉFALO	b r a k i s E f a l u
BRAQUIOSSAURO	b r a k i o s a u r u
BRASA	b r a z a
BRASAS	b r a z a js
BRASEIRA	b r a z ej r a
BRASEIRO	b r a z ej r u
BRASILEIRADA	b r a z i l e j r a d a
BRASILEIRISMO	b r a z i l e j r i z m u
BRASILEIRO	b r a z i l ej r u
BRASILEIROTE	b r a z i l e j r O tS i
BRASILIENSE	b r a z i l i e~ s i
BRASILIOFOBIA	b r a z i l i o f o b i a
BRASILIÓFILO	b r a z i l i O f i l u
BRASONAR	b r a z o n a X
BRASUCA	b r a z u k a
BRASÃO	b r a z a~ w~
BRAVATA	b r a v a t a
BRAVEZA	b r a v e z a
BRAVIO	b r a v i u
BRAVO	b r a v u
BRAVURA	b r a v u r a
BRAÇA	b r a s a
BRAÇADA	b r a s a d a
BRAÇADEIRA	b r a s a d ej r a
BRAÇADO	b r a s a d u
BRAÇADURA	b r a s a d u r a
BRAÇAL	b r a s a w
BRAÇO	b r a s u
BRAÇUDO	b r a s u d u
BREAR	b r e a X
BRECA	b r E k a
BRECADA	b r e k a d a
BRECAR	b r e k a X
BRECHA	b r E S a
BREJEIRADA	b r e Z e j r a d a
BREJEIRAR	b r e Z e j r a X
BREJEIRO	b r e Z ej r u
BREJEIROTE	b r e Z e j r O tS i
BREJO	b r e Z u
BREJOSO	b r e Z o z u
BREQUE	b r E k i
BRETÃO	b r e t a~ w~
BREU	b r e u
BREVE	b r E v i
BREVETAR	b r e v e t a X
BREVIÁRIO	b r e v i a r i u
BRICOLAGE	b r i k o l a Z i
BRIGA	b r i g a
BRIGADA	b r i g a d a
BRIGADEIRO	b r i g a d ej r u
BRIGANTINO	b r i g a~ tS i~ n u
BRIGAR	b r i g a X
BRIGOSO	b r i g o z u
BRIGUE	b r i g i
BRIGUENTO	b r i g e~ t u
BRIGÃO	b r i g a~ w~
BRILHANTE	b r i L a~ tS i
BRILHANTINA	b r i L a~ tS i~ n a
BRILHAR	b r i L a X
BRILHARETE	b r i L a r e tS i
BRILHO	b r i L u
BRINCA	b r i~ k a
BRINCADEIRA	b r i~ k a d ej r a
BRINCALHÃO	b r i~ k a L a~ w~
BRINCAR	b r i~ k a X
BRINCO	b r i~ k u
BRINCOS	b r i~ k u s
BRINCÃO	b r i~ k a~ w~
BRINDAR	b r i~ d a X
BRINDE	b r i~ dZ i
BRINQUEDO	b r i~ k e d u
BRIO	b r i u
BRIOL	b r i O w
BRIOSO	b r i o z u
BRISA	b r i z a
BRISAS	b r i z a js
BRITA	b r i t a
BRITADEIRA	b r i t a d ej r a
BRITADOR	b r i t a d o X
BRITANISMO	b r i t a n i z m u
BRITAR	b r i t a X
BRITÂNICO	b r i t a~ n i k u
BROA	b r o a
BROCA	b r O k a
BROCADO	b r o k a d u
BROCAR	b r o k a X
BROCHA	b r O S a
BROCHAR	b r o S a X
BROCHE	b r O S i
BROCHURA	b r o S u r a
BROMAR	b r o m a X
BROMATO	b r o m a t u
BROMETO	b r o m e t u
BROMO	b r o~ m u
BROMOFÓRMIO	b r o m o f O R m i u
BROMÍDRICO	b r o m i d r i k u
BRONCA	b r o~ k a
BRONCO	b r o~ k u
BRONCOPNEUMONIA	b r o~ k o p n e u~ m o n i a
BRONCOSCOPIA	b r o~ k o s k o p i a
BRONCOSCÓPIO	b r o~ k o s k O p i u
BRONCOTOMIA	b r o~ k o t o m i a
BRONQUIAL	b r o~ k i a w
BRONQUICE	b r o~ k i s i
BRONQUITE	b r o~ k i tS i
BRONQUÍOLO	b r o~ k i o l u
BRONTOSSAURO	b r o~ t o s a u r u
BRONZE	b r o~ z i
BRONZEADOR	b r o~ z e a d o X
BRONZEAR	b r o~ z e a X
BROTAR	b r o t a X
BROTO	b r o t u
BRUCELOSE	b r u s e l O z i
BRUMA	b r u~ m a
BRUMACEIRO	b r u~ m a s ej r u
BRUMAL	b r u~ m a w
BRUMOSO	b r u~ m o z u
BRUNIR	b r u~ n i X
BRUSCO	b r u s k u
BRUSQUIDÃO	b r u s k i d a~ w~
BRUTAL	b r u t a w
BRUTALHADA	b r u t a L a d a
BRUTALIDADE	b r u t a l i d a dZ i
BRUTALIZAR	b r u t a l i z a X
BRUTAMONTES	b r u t a m o~ tS i s
BRUTEZA	b r u t e z a
BRUTIDADE	b r u tS i d a dZ i
BRUTIDÃO	b r u tS i d a~ w~
BRUTO	b r u t u
BRUXAR	b r u S a X
BRUXARIA	b r u S a r i a
BRUXEDO	b r u S e d u
BRUXO	b r u S u
BRUÇOS	b r u s u s
BRÁCARO	b r a k a r u
BRÁCTEA	b r a k t e a
BRÂMANE	b r a~ m a n i
BRÂNQUIA	b r a~ k i a
BRÓCOLOS	b r O k o l u s
BRÔMICO	b r o m i k u
BRÔNQUIO	b r o~ k i u
BRÔNZEO	b r o~ z e u
BUCAL	b u k a w
BUCELAR	b u s e l a X
BUCHA	b u S a
BUCHO	b u S u
BUCOLISMO	b u k o l i z m u
BUCÓLICA	b u k O l i k a
BUCÓLICO	b u k O l i k u
BUDISMO	b u dZ i z m u
BUDISTA	b u dZ i s t a
BUEIRO	b u ej r u
BUFAR	b u f a X
BUFETE	b u f e tS i
BUFIDO	b u f i d u
BUFO	b u f u
BUFÃO	b u f a~ w~
BUGALHA	b u g a L a
BUGALHO	b u g a L u
BUGALHUDO	b u g a L u d u
BUGIAR	b u Z i a X
BUGIARIA	b u Z i a r i a
BUGIGANGA	b u Z i g a~ g a
BUGIGANGARIA	b u Z i g a~ g a r i a
BUJARDA	b u Z a R d a
BUJARRONA	b u Z a R o~ n a
BULA	b u l a
BULAR	b u l a X
BULBIFORME	b u w b i f O R m i
BULBILHO	b u w b i L u
BULBO	b u w b u
BULBOSO	b u w b o z u
BULDOGUE	b u w d O g i
BULE	b u l i
BULHA	b u L a
BULHAR	b u L a X
BULHENTO	b u L e~ t u
BULHÃO	b u L a~ w~
BULIDELA	b u l i d E l a
BULIR	b u l i X
BULIÇOSO	b u l i s o z u
BULÍCIO	b u l i s i u
BUM	b u~
BUMBA	b u~ b a
BUMBUM	b u~ b u~
BURACA	b u r a k a
BURACAR	b u r a k a X
BURACO	b u r a k u
BURACÃO	b u r a k a~ w~
BURBURINHAR	b u R b u r i~ J a X
BURBURINHO	b u R b u r i~ J u
BUREL	b u r E w
BURGO	b u R g u
BURGOMESTRE	b u R g o m E s t r i
BURGUESIA	b u R g e z i a
BURGUESISMO	b u R g e z i z m u
BURGUÊS	b u R g e js
BURIL	b u r i w
BURLA	b u R l a
BURLADOR	b u R l a d o X
BURLAR	b u R l a X
BURLESCO	b u R l e s k u
BURLOSO	b u R l o z u
BURLÃO	b u R l a~ w~
BUROCRACIA	b u r o k r a s i a
BUROCRACISMO	b u r o k r a s i z m u
BUROCRATISMO	b u r o k r a tS i z m u
BUROCRATIZAR	b u r o k r a tS i z a X
BUROCRÁTICO	b u r o k r a tS i k u
BURRA	b u R a
BURRADA	b u R a d a
BURRECO	b u R E k u
BURRICADA	b u R i k a d a
BURRICAL	b u R i k a w
BURRICO	b u R i k u
BURRIFICAR	b u R i f i k a X
BURRINHO	b u R i~ J u
BURRIQUEIRO	b u R i k ej r u
BURRO	b u R u
BURRÃO	b u R a~ w~
BUS	b u js
BUSCA	b u s k a
BUSCADOR	b u s k a d o X
BUSCANTE	b u s k a~ tS i
BUSCAR	b u s k a X
BUSTO	b u s t u
BUSÍLIS	b u z i l i s
BUTANO	b u t a~ n u
BUXO	b u S u
BUZINA	b u z i~ n a
BUZINADELA	b u z i~ n a d E l a
BUZINAR	b u z i~ n a X
BUÇAL	b u s a w
BUÇO	b u s u
BUÉ	b u E
BÁ	b a
BÁCORO	b a k o r u
BÁCULO	b a k u l u
BÁLSAMO	b a w s a m u
BÁLTICO	b a w tS i k u
BÁRBARO	b a R b a r u
BÁRDICO	b a R dZ i k u
BÁRIA	b a r i a
BÁRICO	b a r i k u
BÁRIO	b a r i u
BÁSCULA	b a s k u l a
BÁSICO	b a s i k u
BÁTEGA	b a t e g a
BÁVARO	b a v a r u
BÉLICO	b E l i k u
BÊ	b e
BÊBADO	b e b a d u
BÊBEDO	b e b e d u
BÊNÇÃO	b e~ s a~ w~
BÍBLIA	b i b l i a
BÍBLICO	b i b l i k u
BÍGAMO	b i g a m u
BÍLIS	b i l i s
BÍPARO	b i p a r u
BÍPEDE	b i p e dZ i
BÓCIO	b O s i u
BÓER	b O e X
BÓFIA	b O f i a
BÓLIDE	b O l i dZ i
BÓRICO	b O r i k u
BÓSNIO	b O z n i u
BÔNUS	b o n u s
BÚDICO	b u dZ i k u
BÚFALO	b u f a l u
BÚLGARO	b u w g a r u
BÚSSOLA	b u s o l a
BÚZIO	b u z i u
CABACEIRA	k a b a s ej r a
CABACEIRO	k a b a s ej r u
CABACINHA	k a b a s i~ J a
CABAL	k a b a w
CABALA	k a b a l a
CABALAR	k a b a l a X
CABALETA	k a b a l e t a
CABALÍSTICO	k a b a l i s tS i k u
CABANA	k a b a~ n a
CABARÉ	k a b a r E
CABAZ	k a b a js
CABAZADA	k a b a z a d a
CABAZEIRO	k a b a z ej r u
CABAÇADA	k a b a s a d a
CABAÇAL	k a b a s a w
CABAÇO	k a b a s u
CABECEAR	k a b e s e a X
CABECEIO	k a b e s ej u
CABECEIRA	k a b e s ej r a
CABECEIRENSE	k a b e s e j r e~ s i
CABECEIRO	k a b e s ej r u
CABECILHA	k a b e s i L a
CABECINHA	k a b e s i~ J a
CABEDAL	k a b e d a w
CABELEIRA	k a b e l ej r a
CABELEIREIRO	k a b e l e j r ej r u
CABELEIRO	k a b e l ej r u
CABELO	k a b e l u
CABELUDO	k a b e l u d u
CABER	k a b e X
CABEÇA	k a b e s a
CABEÇADA	k a b e s a d a
CABEÇALHO	k a b e s a L u
CABEÇAS	k a b e s a js
CABEÇO	k a b e s u
CABEÇORRA	k a b e s O R a
CABEÇORRO	k a b e s o R u
CABEÇOTE	k a b e s O tS i
CABEÇUDO	k a b e s u d u
CABIDE	k a b i dZ i
CABIDELA	k a b i d E l a
CABIDO	k a b i d u
CABINA	k a b i~ n a
CABINDA	k a b i~ d a
CABINE	k a b i~ n i
CABISBAIXO	k a b i z b a j S u
CABLAGEM	k a b l a Z e~j~
CABO	k a b u
CABOTAGEM	k a b o t a Z e~j~
CABOTINAGEM	k a b o tS i~ n a Z e~j~
CABOTINISMO	k a b o tS i~ n i z m u
CABOTINO	k a b o tS i~ n u
CABRA	k a b r a
CABRADA	k a b r a d a
CABREIRA	k a b r ej r a
CABREIRO	k a b r ej r u
CABRIL	k a b r i w
CABRINHA	k a b r i~ J a
CABRIOLA	k a b r i O l a
CABRIOLAR	k a b r i o l a X
CABRIOLICE	k a b r i o l i s i
CABRITA	k a b r i t a
CABRITADA	k a b r i t a d a
CABRITAR	k a b r i t a X
CABRITEIRO	k a b r i t ej r u
CABRITO	k a b r i t u
CABRÃO	k a b r a~ w~
CABULAR	k a b u l a X
CABULICE	k a b u l i s i
CACA	k a k a
CACADA	k a k a d a
CACARACÁ	k a k a r a k a
CACARECOS	k a k a r E k u s
CACAREJAR	k a k a r e Z a X
CACAREJO	k a k a r e Z u
CACARIA	k a k a r i a
CACATUA	k a k a t u a
CACAU	k a k a u
CACAUAL	k a k a u a w
CACAUEIRO	k a k a u ej r u
CACAUZEIRAL	k a k a u z e j r a w
CACAUZEIRO	k a k a u z ej r u
CACETADA	k a s e t a d a
CACETE	k a s e tS i
CACETEAR	k a s e t e a X
CACETEIRO	k a s e t ej r u
CACHACEIRA	k a S a s ej r a
CACHACEIRO	k a S a s ej r u
CACHALOTE	k a S a l O tS i
CACHAÇA	k a S a s a
CACHAÇO	k a S a s u
CACHAÇUDO	k a S a s u d u
CACHE	k a S i
CACHEAR	k a S e a X
CACHECOL	k a S e k O w
CACHEIRA	k a S ej r a
CACHEIRADA	k a S e j r a d a
CACHEIRO	k a S ej r u
CACHIMBADA	k a S i~ b a d a
CACHIMBADOR	k a S i~ b a d o X
CACHIMBAR	k a S i~ b a X
CACHIMBO	k a S i~ b u
CACHO	k a S u
CACHOANTE	k a S o a~ tS i
CACHOEIRA	k a S o ej r a
CACHOEIRAR	k a S o e j r a X
CACHOLA	k a S O l a
CACHOLADA	k a S o l a d a
CACHOPADA	k a S o p a d a
CACHOPO	k a S o p u
CACHORRA	k a S o R a
CACHORRADA	k a S o R a d a
CACHORRO	k a S o R u
CACHUCHAR	k a S u S a X
CACHUDO	k a S u d u
CACHÃO	k a S a~ w~
CACICAL	k a s i k a w
CACICAR	k a s i k a X
CACIFEIRO	k a s i f ej r u
CACIFO	k a s i f u
CACIFRE	k a s i f r i
CACIFRO	k a s i f r u
CACILHEIRO	k a s i L ej r u
CACIQUE	k a s i k i
CACIQUISMO	k a s i k i z m u
CACO	k a k u
CACOFONIA	k a k o f o n i a
CACTIFORME	k a k tS i f O R m i
CACTOIDE	k a k t O j dZ i
CADA	k a d a
CADAFALSO	k a d a f a w s u
CADASTRAL	k a d a s t r a w
CADASTRAR	k a d a s t r a X
CADASTRO	k a d a s t r u
CADAVÉRICO	k a d a v E r i k u
CADEADO	k a d e a d u
CADEIA	k a d ej a
CADEIRA	k a d ej r a
CADEIRADO	k a d e j r a d u
CADEIRAL	k a d e j r a w
CADEIREIRO	k a d e j r ej r u
CADEIRÃO	k a d e j r a~ w~
CADELA	k a d E l a
CADELONA	k a d e l o~ n a
CADENCIAR	k a d e~ s i a X
CADENCIOSO	k a d e~ s i o z u
CADENTE	k a d e~ tS i
CADERNAL	k a d e R n a w
CADERNAÇO	k a d e R n a s u
CADERNETA	k a d e R n e t a
CADERNO	k a d E R n u
CADETE	k a d e tS i
CADILHO	k a dZ i L u
CADUCANTE	k a d u k a~ tS i
CADUCAR	k a d u k a X
CADUCEU	k a d u s e u
CADUCIDADE	k a d u s i d a dZ i
CADUCO	k a d u k u
CADUCÁRIO	k a d u k a r i u
CADÁVER	k a d a v e X
CADÊNCIA	k a d e~ s i a
CAFAJESTE	k a f a Z E s tS i
CAFEAL	k a f e a w
CAFEEIRAL	k a f e e j r a w
CAFEEIRO	k a f e ej r u
CAFEICULTURA	k a f e j k u w t u r a
CAFETARIA	k a f e t a r i a
CAFETEIRA	k a f e t ej r a
CAFETEIRO	k a f e t ej r u
CAFEZADA	k a f e z a d a
CAFEZAL	k a f e z a w
CAFEZEIRAL	k a f e z e j r a w
CAFEZEIRO	k a f e z ej r u
CAFEZITO	k a f e z i t u
CAFEÍNA	k a f e i n a
CAFEÍSMO	k a f e i z m u
CAFÉ	k a f E
CAGANITA	k a g a n i t a
CAGAR	k a g a X
CAGAROLA	k a g a r O l a
CAGAÇAL	k a g a s a w
CAIADELA	k a j a d E l a
CAIADOR	k a j a d o X
CAIADURA	k a j a d u r a
CAIAQUE	k a j a k i
CAIAR	k a j a X
CAIEIRO	k a j ej r u
CAIMÃO	k a i~ m a~ w~
CAIO	k a j u
CAIPIRA	k a j p i r a
CAIPIRADA	k a j p i r a d a
CAIPORISMO	k a j p o r i z m u
CAIQUEIRO	k a j k ej r u
CAIR	k a j X
CAIS	k a j s
CAIXA	k a j S a
CAIXARIA	k a j S a r i a
CAIXEIRADA	k a j S e j r a d a
CAIXEIRAL	k a j S e j r a w
CAIXEIRO	k a j S ej r u
CAIXETA	k a j S e t a
CAIXILHAME	k a j S i L a~ m i
CAIXILHARIA	k a j S i L a r i a
CAIXILHO	k a j S i L u
CAIXINHA	k a j S i~ J a
CAIXOTARIA	k a j S o t a r i a
CAIXOTE	k a j S O tS i
CAIXOTEIRO	k a j S o t ej r u
CAIXOTÃO	k a j S o t a~ w~
CAIXÃO	k a j S a~ w~
CAJADADA	k a Z a d a d a
CAJADO	k a Z a d u
CAJU	k a Z u
CAJUADA	k a Z u a d a
CAJUEIRAL	k a Z u e j r a w
CAJUEIRO	k a Z u ej r u
CAL	k a w
CALA	k a l a
CALABOIÇO	k a l a b o j s u
CALABOUÇO	k a l a b ow s u
CALADA	k a l a d a
CALADO	k a l a d u
CALADOR	k a l a d o X
CALAFATE	k a l a f a tS i
CALAFETAGEM	k a l a f e t a Z e~j~
CALAFETAR	k a l a f e t a X
CALAFETO	k a l a f E t u
CALAFRIO	k a l a f r i u
CALAMIDADE	k a l a m i d a dZ i
CALAMITOSO	k a l a m i t o z u
CALAR	k a l a X
CALCADA	k a w k a d a
CALCADEIRA	k a w k a d ej r a
CALCADELA	k a w k a d E l a
CALCADOIRO	k a w k a d o j r u
CALCADOURO	k a w k a d ow r u
CALCADURA	k a w k a d u r a
CALCAGEM	k a w k a Z e~j~
CALCANHAR	k a w k a J a X
CALCANHEIRA	k a w k a J ej r a
CALCAR	k a w k a X
CALCEIRO	k a w s ej r u
CALCETAR	k a w s e t a X
CALCETARIA	k a w s e t a r i a
CALCETEIRO	k a w s e t ej r u
CALCIFICAR	k a w s i f i k a X
CALCINANTE	k a w s i~ n a~ tS i
CALCINAR	k a w s i~ n a X
CALCINATÓRIO	k a w s i~ n a t O r i u
CALCINHAS	k a w s i~ J a js
CALCITE	k a w s i tS i
CALCOGRAFAR	k a w k o g r a f a X
CALCOGRAFIA	k a w k o g r a f i a
CALCORREADA	k a w k o R e a d a
CALCORREADOR	k a w k o R e a d o X
CALCORREANTE	k a w k o R e a~ tS i
CALCORREAR	k a w k o R e a X
CALCULADOR	k a w k u l a d o X
CALCULADORA	k a w k u l a d o r a
CALCULAR	k a w k u l a X
CALCULISMO	k a w k u l i z m u
CALCULISTA	k a w k u l i s t a
CALCULOSO	k a w k u l o z u
CALCÁRIO	k a w k a r i u
CALDA	k a w d a
CALDAR	k a w d a X
CALDAS	k a w d a js
CALDAÇA	k a w d a s a
CALDEAR	k a w d e a X
CALDEIRA	k a w d ej r a
CALDEIRADA	k a w d e j r a d a
CALDEIRAR	k a w d e j r a X
CALDEIRARIA	k a w d e j r a r i a
CALDEIREIRO	k a w d e j r ej r u
CALDEIRINHA	k a w d e j r i~ J a
CALDEIRO	k a w d ej r u
CALDEIRÃO	k a w d e j r a~ w~
CALDENSE	k a w d e~ s i
CALDEU	k a w d e u
CALDO	k a w d u
CALE	k a l i
CALEDÔNIO	k a l e d o n i u
CALEIDOSCÓPIO	k a l e j d o s k O p i u
CALEIRA	k a l ej r a
CALEJAR	k a l e Z a X
CALENDA	k a l e~ d a
CALENDARIZAR	k a l e~ d a r i z a X
CALENDÁRIO	k a l e~ d a r i u
CALFE	k a w f i
CALHA	k a L a
CALHADOIRO	k a L a d o j r u
CALHADOURO	k a L a d ow r u
CALHAMAÇADA	k a L a m a s a d a
CALHAMAÇO	k a L a m a s u
CALHAMBEQUE	k a L a~ b E k i
CALHANÇO	k a L a~ s u
CALHAR	k a L a X
