A	a
ANIMALOGIA	a n i m a l o g i ' a
ANIMALÃO	a n i m a l ã ' o
ANIMANTE	a n i m a ' n t e
ANIMAR	a n i m a ' r
ANIMATÓGRAFO	a n i m a t ó ' g r a f o
ANIMISMO	a n i m i ' s m o
ANIMISTA	a n i m i ' s t a
ANIMOSIDADE	a n i m o s i d a ' d e
ANIMOSO	a n i m o ' s o
ANINHAR	a n i n h a ' r
ANIQUILADOR	a n i q u i l a d o ' r
ANIQUILAR	a n i q u i l a ' r
ANIS	a n i ' s
ANISAR	a n i s a ' r
ANISÓTROPO	a n i s ó ' t r o p o
ANIVERSARIANTE	a n i v e r s a r i a ' n t e
ANIVERSARIAR	a n i v e r s a r i a ' r
ANIVERSÁRIO	a n i v e r s á ' r i o
ANIÃO	a n i ã ' o
ANJO	a ' n j o
ANO	a ' n o
ANODIZAÇÃO	a n o d i z a ç ã ' o
ANOFTÁLMICO	a n o f t á ' l m i c o
ANOITECER	a n o i t e c e ' r
ANOJADIÇO	a n o j a d i ' ç o
ANOJAR	a n o j a ' r
ANOMALIA	a n o m a l i ' a
ANOMIA	a n o m i ' a
ANONIMADO	a n o n i m a ' d o
ANONIMAMENTE	a n o n i m a m e ' n t e
ANONIMATO	a n o n i m a ' t o
ANONÍMIA	a n o n í ' m i a
ANOREXIA	a n o r e x i ' a
ANORMAL	a n o r m a ' l
ANORMALIDADE	a n o r m a l i d a ' d e
ANORTEAR	a n o r t e a ' r
ANORÉTICO	a n o r é ' t i c o
ANOS	a ' n o s
ANOSO	a n o ' s o
ANOTADOR	a n o t a d o ' r
ANOTAR	a n o t a ' r
ANOTAÇÃO	a n o t a ç ã ' o
ANOVELAR	a n o v e l a ' r
ANSA	a ' n s a
ANSEIO	a n s e ' i o
ANSIAR	a n s i a ' r
ANSIEDADE	a n s i e d a ' d e
ANSIOSO	a n s i o ' s o
ANTA	a ' n t a
ANTAGONISMO	a n t a g o n i ' s m o
ANTAGONISTA	a n t a g o n i ' s t a
ANTAGONIZAR	a n t a g o n i z a ' r
ANTAGÔNICO	a n t a g ô ' n i c o
ANTANHO	a n t a ' n h o
ANTE	a ' n t e
ANTEATO	a n t e a ' t o
ANTEBOCA	a n t e b o ' c a
ANTEBRAÇO	a n t e b r a ' ç o
ANTECEDENTE	a n t e c e d e ' n t e
ANTECEDER	a n t e c e d e ' r
ANTECEDÊNCIA	a n t e c e d ê ' n c i a
ANTECESSOR	a n t e c e s s o ' r
ANTECIPADAMENTE	a n t e c i p a d a m e ' n t e
ANTECIPAR	a n t e c i p a ' r
ANTECIPAÇÃO	a n t e c i p a ç ã ' o
ANTECLÁSSICO	a n t e c l á ' s s i c o
ANTECOLUNA	a n t e c o l u ' n a
ANTECONHECIMENTO	a n t e c o n h e c i m e ' n t o
ANTECORO	a n t e c o ' r o
ANTECÂMARA	a n t e c â ' m a r a
ANTECÂMBRICO	a n t e c â ' m b r i c o
ANTEDITO	a n t e d i ' t o
ANTEDIZER	a n t e d i z e ' r
ANTEFOSSO	a n t e f o ' s s o
ANTEGUARDA	a n t e g u a ' r d a
ANTEMOSTRAR	a n t e m o s t r a ' r
ANTEMOVER	a n t e m o v e ' r
ANTEMURAL	a n t e m u r a ' l
ANTEMURALHA	a n t e m u r a ' l h a
ANTEMURAR	a n t e m u r a ' r
ANTEMURO	a n t e m u ' r o
ANTEMÃO	a n t e m ã ' o
ANTENA	a n t e ' n a
ANTENADO	a n t e n a ' d o
ANTENAL	a n t e n a ' l
ANTENIFORME	a n t e n i f o ' r m e
ANTENOME	a n t e n o ' m e
ANTENUPCIAL	a n t e n u p c i a ' l
ANTEOCULAR	a n t e o c u l a ' r
ANTEOCUPANTE	a n t e o c u p a ' n t e
ANTEOCUPAR	a n t e o c u p a ' r
ANTEONTEM	a n t e o ' n t e m
ANTEPAGA	a n t e p a ' g a
ANTEPAGAR	a n t e p a g a ' r
ANTEPARA	a n t e p a ' r a
ANTEPARAR	a n t e p a r a ' r
ANTEPARO	a n t e p a ' r o
ANTEPARTO	a n t e p a ' r t o
ANTEPASSAR	a n t e p a s s a ' r
ANTEPASTO	a n t e p a ' s t o
ANTEPENÚLTIMO	a n t e p e n ú ' l t i m o
ANTEPOR	a n t e p o ' r
ANTEPORTA	a n t e p o ' r t a
ANTEPORTADA	a n t e p o r t a ' d a
ANTEPORTAL	a n t e p o r t a ' l
ANTEPORTARIA	a n t e p o r t a r i ' a
ANTEPORTO	a n t e p o ' r t o
ANTEPOSIÇÃO	a n t e p o s i ç ã ' o
ANTEPOSTO	a n t e p o ' s t o
ANTEPROGRAMA	a n t e p r o g r a ' m a
ANTEPROJETO	a n t e p r o j e ' t o
ANTEPROPOSTA	a n t e p r o p o ' s t a
ANTERIOR	a n t e r i o ' r
ANTERIORIDADE	a n t e r i o r i d a ' d e
ANTERIORIZAR	a n t e r i o r i z a ' r
ANTES	a ' n t e s
ANTESTREIA	a n t e s t r e ' i a
ANTEVER	a n t e v e ' r
ANTEVIDENTE	a n t e v i d e ' n t e
ANTEVIDÊNCIA	a n t e v i d ê ' n c i a
ANTEVÉSPERA	a n t e v é ' s p e r a
ANTI	a n t i '
ANTIABOLICIONISMO	a n t i a b o l i c i o n i ' s m o
ANTIABORTIVO	a n t i a b o r t i ' v o
ANTIACADÉMICO	a n t i a c a d é ' m i c o
ANTIALCALINO	a n t i a l c a l i ' n o
ANTIALCOOLISMO	a n t i a l c o o l i ' s m o
ANTIALCOÓLICO	a n t i a l c o ó ' l i c o
ANTIARISTOCRATA	a n t i a r i s t o c r a ' t a
ANTIARISTOCRÁTICO	a n t i a r i s t o c r á ' t i c o
ANTIARTÍSTICO	a n t i a r t í ' s t i c o
ANTIASMÁTICO	a n t i a s m á ' t i c o
ANTIAÉREO	a n t i a é ' r e o
ANTIBIOSE	a n t i b i o ' s e
ANTIBIOTERAPIA	a n t i b i o t e r a p i ' a
ANTIBIÓTICO	a n t i b i ó ' t i c o
ANTICATOLICISMO	a n t i c a t o l i c i ' s m o
ANTICATÓLICO	a n t i c a t ó ' l i c o
ANTICIENTÍFICO	a n t i c i e n t í ' f i c o
ANTICIVISMO	a n t i c i v i ' s m o
ANTICLERICAL	a n t i c l e r i c a ' l
ANTICLERICALISMO	a n t i c l e r i c a l i ' s m o
ANTICLÁSSICO	a n t i c l á ' s s i c o
ANTICOAGULANTE	a n t i c o a g u l a ' n t e
ANTICOLÉRICO	a n t i c o l é ' r i c o
ANTICOMERCIAL	a n t i c o m e r c i a ' l
ANTICONCECIONAL	a n t i c o n c e c i o n a ' l
ANTICONCETIVO	a n t i c o n c e t i ' v o
ANTICONCÍLIO	a n t i c o n c í ' l i o
ANTICONSTITUCIONAL	a n t i c o n s t i t u c i o n a ' l
ANTICORPO	a n t i c o ' r p o
ANTICORPORATIVISMO	a n t i c o r p o r a t i v i ' s m o
ANTICORPORATIVO	a n t i c o r p o r a t i ' v o
ANTICORROSIVO	a n t i c o r r o s i ' v o
ANTICOSMÉTICO	a n t i c o s m é ' t i c o
ANTICREPÚSCULO	a n t i c r e p ú ' s c u l o
ANTICRISTIANISMO	a n t i c r i s t i a n i ' s m o
ANTICRISTO	a n t i c r i ' s t o
ANTICRISTÃO	a n t i c r i s t ã ' o
ANTICRÍTICO	a n t i c r í ' t i c o
ANTICÉTICO	a n t i c é ' t i c o
ANTICÍVICO	a n t i c í ' v i c o
ANTIDIABÉTICO	a n t i d i a b é ' t i c o
ANTIDIARREICO	a n t i d i a r r e ' i c o
ANTIDIFTÉRICO	a n t i d i f t é ' r i c o
ANTIDIGESTIVO	a n t i d i g e s t i ' v o
ANTIDOGMATISMO	a n t i d o g m a t i ' s m o
ANTIDOGMÁTICO	a n t i d o g m á ' t i c o
ANTIDRAMÁTICO	a n t i d r a m á ' t i c o
ANTIECONÔMICO	a n t i e c o n ô ' m i c o
ANTIESCARLATINOSO	a n t i e s c a r l a t i n o ' s o
ANTIESCORBÚTICO	a n t i e s c o r b ú ' t i c o
ANTIESPIRITUALISMO	a n t i e s p i r i t u a l i ' s m o
ANTIESTÉTICO	a n t i e s t é ' t i c o
ANTIEVANGÉLICO	a n t i e v a n g é ' l i c o
ANTIFEBRIL	a n t i f e b r i ' l
ANTIFERRUGINOSO	a n t i f e r r u g i n o ' s o
ANTIFILOSÓFICO	a n t i f i l o s ó ' f i c o
ANTIGAMENTE	a n t i g a m e ' n t e
ANTIGEOMÉTRICO	a n t i g e o m é ' t r i c o
ANTIGERMÂNICO	a n t i g e r m â ' n i c o
ANTIGO	a n t i ' g o
ANTIGOTOSO	a n t i g o t o ' s o
ANTIGOVERNAMENTAL	a n t i g o v e r n a m e n t a ' l
ANTIGRAMATICAL	a n t i g r a m a t i c a ' l
ANTIGREVISTA	a n t i g r e v i ' s t a
ANTIGRIPAL	a n t i g r i p a ' l
ANTIGUIDADE	a n t i g u i d a ' d e
ANTIGÁS	a n t i g á ' s
ANTIGÁSICO	a n t i g á ' s i c o
ANTIGÉNICO	a n t i g é ' n i c o
ANTIGÉNIO	a n t i g é ' n i o
ANTIGÓRIO	a n t i g ó ' r i o
ANTIJURÍDICO	a n t i j u r í ' d i c o
ANTILETÁRGICO	a n t i l e t á ' r g i c o
ANTILIBERAL	a n t i l i b e r a ' l
ANTILOGARITMO	a n t i l o g a r i ' t m o
ANTILOGISMO	a n t i l o g i ' s m o
ANTIMAGNÉTICO	a n t i m a g n é ' t i c o
ANTIMATÉRIA	a n t i m a t é ' r i a
ANTIMAÇÔNICO	a n t i m a ç ô ' n i c o
ANTIMELANCÓLICO	a n t i m e l a n c ó ' l i c o
ANTIMELÓDICO	a n t i m e l ó ' d i c o
ANTIMETÁTESE	a n t i m e t á ' t e s e
ANTIMILITAR	a n t i m i l i t a ' r
ANTIMILITARISMO	a n t i m i l i t a r i ' s m o
ANTIMILITARISTA	a n t i m i l i t a r i ' s t a
ANTIMONÓXIDO	a n t i m o n ó ' x i d o
ANTIMORAL	a n t i m o r a ' l
ANTIMÔNICO	a n t i m ô ' n i c o
ANTIMÔNIO	a n t i m ô ' n i o
ANTINACIONAL	a n t i n a c i o n a ' l
ANTINARCÓTICO	a n t i n a r c ó ' t i c o
ANTINATURAL	a n t i n a t u r a ' l
ANTINEUTRÃO	a n t i n e u t r ã ' o
ANTINEVRÁLGICO	a n t i n e v r á ' l g i c o
ANTINEVRÓTICO	a n t i n e v r ó ' t i c o
ANTINOMIA	a n t i n o m i ' a
ANTINOMISMO	a n t i n o m i ' s m o
ANTINUPCIAL	a n t i n u p c i a ' l
ANTINÓDOA	a n t i n ó ' d o a
ANTIPAPA	a n t i p a ' p a
ANTIPAPADO	a n t i p a p a ' d o
ANTIPARALELAS	a n t i p a r a l e ' l a s
ANTIPARALELISMO	a n t i p a r a l e l i ' s m o
ANTIPARASITA	a n t i p a r a s i ' t a
ANTIPARLAMENTARISMO	a n t i p a r l a m e n t a r i ' s m o
ANTIPARTÍCULA	a n t i p a r t í ' c u l a
ANTIPATIA	a n t i p a t i ' a
ANTIPATIZAR	a n t i p a t i z a ' r
ANTIPATRIÓTICO	a n t i p a t r i ó ' t i c o
ANTIPEDAGÓGICO	a n t i p e d a g ó ' g i c o
ANTIPERISTÁLTICO	a n t i p e r i s t á ' l t i c o
ANTIPERIÓDICO	a n t i p e r i ó ' d i c o
ANTIPLÁSTICO	a n t i p l á ' s t i c o
ANTIPOLÍTICA	a n t i p o l í ' t i c a
ANTIPOLÍTICO	a n t i p o l í ' t i c o
ANTIPOPULAR	a n t i p o p u l a ' r
ANTIPOÉTICO	a n t i p o é ' t i c o
ANTIPROTÃO	a n t i p r o t ã ' o
ANTIPÓDICO	a n t i p ó ' d i c o
ANTIQUAR	a n t i q u a ' r
ANTIQUÁRIO	a n t i q u á ' r i o
ANTIQUÍSSIMO	a n t i q u í ' s s i m o
ANTIRRACIONAL	a n t i r r a c i o n a ' l
ANTIRRAQUÍTICO	a n t i r r a q u í ' t i c o
ANTIRREALISMO	a n t i r r e a l i ' s m o
ANTIRRUGAS	a n t i r r u ' g a s
ANTISSÉPTICO	a n t i s s é ' p t i c o
ANTISSÉTICO	a n t i s s é ' t i c o
ANTITEATRO	a n t i t e a ' t r o
ANTITETÂNICO	a n t i t e t â ' n i c o
ANTITEÍSMO	a n t i t e í ' s m o
ANTITOXINA	a n t i t o x i ' n a
ANTITUBERCULOSO	a n t i t u b e r c u l o ' s o
ANTITÉRMICO	a n t i t é ' r m i c o
ANTITÉTICO	a n t i t é ' t i c o
ANTIVARIÓLICO	a n t i v a r i ó ' l i c o
ANTIVIRIL	a n t i v i r i ' l
ANTIVIRULENTO	a n t i v i r u l e ' n t o
ANTIVÍRUS	a n t i v í ' r u s
ANTOLOGIA	a n t o l o g i ' a
ANTOLÓGICO	a n t o l ó ' g i c o
ANTONIANO	a n t o n i a ' n o
ANTONÍMIA	a n t o n í ' m i a
ANTRACITOSO	a n t r a c i t o ' s o
ANTRO	a ' n t r o
ANTROPOCENTRISMO	a n t r o p o c e n t r i ' s m o
ANTROPOCÊNTRICO	a n t r o p o c ê ' n t r i c o
ANTROPOFÁGICO	a n t r o p o f á ' g i c o
ANTROPOGENESIA	a n t r o p o g e n e s i ' a
ANTROPOGENIA	a n t r o p o g e n i ' a
ANTROPOGENÉTICO	a n t r o p o g e n é ' t i c o
ANTROPOGÉNESE	a n t r o p o g é ' n e s e
ANTROPOIDE	a n t r o p o ' i d e
ANTROPOLOGIA	a n t r o p o l o g i ' a
ANTROPOMORFIA	a n t r o p o m o r f i ' a
ANTROPOMORFISMO	a n t r o p o m o r f i ' s m o
ANTROPOMORFIZAR	a n t r o p o m o r f i z a ' r
ANTROPOMORFO	a n t r o p o m o ' r f o
ANTROPOMORFOSE	a n t r o p o m o r f o ' s e
ANTROPOMÉTRICO	a n t r o p o m é ' t r i c o
ANTROPONÍMIA	a n t r o p o n í ' m i a
ANTROPONÍMICO	a n t r o p o n í ' m i c o
ANTROPOTERAPIA	a n t r o p o t e r a p i ' a
ANTROPOTEÍSMO	a n t r o p o t e í ' s m o
ANTROPÓFAGO	a n t r o p ó ' f a g o
ANTROPÔNIMO	a n t r o p ô ' n i m o
ANTÁRTICO	a n t á ' r t i c o
ANTÍDOTO	a n t í ' d o t o
ANTÍFRASE	a n t í ' f r a s e
ANTÍLOPE	a n t í ' l o p e
ANTÍPODAS	a n t í ' p o d a s
ANTÍPODES	a n t í ' p o d e s
ANTÍTESE	a n t í ' t e s e
ANTÔNIMO	a n t ô ' n i m o
ANUAL	a n u a ' l
ANUALIDADE	a n u a l i d a ' d e
ANUENTE	a n u e ' n t e
ANUIDADE	a n u i d a ' d e
ANUIR	a n u i ' r
ANULABILIDADE	a n u l a b i l i d a ' d e
ANULADOR	a n u l a d o ' r
ANULANTE	a n u l a ' n t e
ANULAR	a n u l a ' r
ANULATIVO	a n u l a t i ' v o
ANULATÓRIO	a n u l a t ó ' r i o
ANUNCIADA	a n u n c i a ' d a
ANUNCIADOR	a n u n c i a d o ' r
ANUNCIANTE	a n u n c i a ' n t e
ANUNCIAR	a n u n c i a ' r
ANUNCIATIVO	a n u n c i a t i ' v o
ANUVIAR	a n u v i a ' r
ANUÁRIO	a n u á ' r i o
ANUÊNCIA	a n u ê ' n c i a
ANZOL	a n z o ' l
ANZOLADO	a n z o l a ' d o
ANZOLEIRO	a n z o l e ' i r o
ANÁFORA	a n á ' f o r a
ANÁLISE	a n á ' l i s e
ANÁLOGO	a n á ' l o g o
ANÁSTROFE	a n á ' s t r o f e
ANÁTEMA	a n á ' t e m a
ANÃO	a n ã ' o
ANÉIS	a n é ' i s
ANÉMICO	a n é ' m i c o
ANÉMONA	a n é ' m o n a
ANÍDRICO	a n í ' d r i c o
ANÍMICO	a n í ' m i c o
ANÔMALO	a n ô ' m a l o
ANÔNIMO	a n ô ' n i m o
ANÚNCIO	a n ú ' n c i o
AO	a o
AONDE	a o ' n d e
AORTA	a o ' r t a
APACHE	a p a ' c h e
APADRINHAR	a p a d r i n h a ' r
APADROAR	a p a d r o a ' r
APAGA	a p a ' g a
APAGADOR	a p a g a d o ' r
APAGAR	a p a g a ' r
APAIXONADIÇO	a p a i x o n a d i ' ç o
APAIXONADO	a p a i x o n a ' d o
APAIXONAR	a p a i x o n a ' r
APALACIANAR	a p a l a c i a n a ' r
APALADAR	a p a l a d a ' r
APALANCAR	a p a l a n c a ' r
APALAVRAR	a p a l a v r a ' r
APALAÇAR	a p a l a ç a ' r
APALERMAR	a p a l e r m a ' r
APALHAÇAR	a p a l h a ç a ' r
APALMAR	a p a l m a ' r
APALPADEIRA	a p a l p a d e ' i r a
APALPADELA	a p a l p a d e ' l a
APALPAR	a p a l p a ' r
APALPO	a p a ' l p o
APALPÃO	a p a l p ã ' o
APANCAR	a p a n c a ' r
APANHA	a p a ' n h a
APANHADO	a p a n h a ' d o
APANHADOR	a p a n h a d o ' r
APANHADURA	a p a n h a d u ' r a
APANHAR	a p a n h a ' r
APANHO	a p a ' n h o
APANICAR	a p a n i c a ' r
APANIGUAR	a p a n i g u a ' r
APANTUFAR	a p a n t u f a ' r
APANÁGIO	a p a n á ' g i o
APAPARICAR	a p a p a r i c a ' r
APAPARICOS	a p a p a r i ' c o s
APAPOILADO	a p a p o i l a ' d o
APARA	a p a ' r a
APARADEIRA	a p a r a d e ' i r a
APARADOR	a p a r a d o ' r
APARAFUSAR	a p a r a f u s a ' r
APARAR	a p a r a ' r
APARATO	a p a r a ' t o
APARATOSO	a p a r a t o ' s o
APARCAMENTO	a p a r c a m e ' n t o
APARCEIRAR	a p a r c e i r a ' r
APARCELAR	a p a r c e l a ' r
APARECER	a p a r e c e ' r
APARELHAGEM	a p a r e l h a ' g e m
APARELHAR	a p a r e l h a ' r
APARELHO	a p a r e ' l h o
APARENTAR	a p a r e n t a ' r
APARENTE	a p a r e ' n t e
APARIÇÃO	a p a r i ç ã ' o
APARO	a p a ' r o
APARTA	a p a ' r t a
APARTADIÇO	a p a r t a d i ' ç o
APARTAR	a p a r t a ' r
APARTE	a p a ' r t e
APARTOTEL	a p a r t o t e ' l
APARVALHAR	a p a r v a l h a ' r
APARVOAR	a p a r v o a ' r
APARÊNCIA	a p a r ê ' n c i a
APASCENTAR	a p a s c e n t a ' r
APASSIVADOR	a p a s s i v a d o ' r
APASSIVANTE	a p a s s i v a ' n t e
APASSIVAR	a p a s s i v a ' r
APASSIVATIVO	a p a s s i v a t i ' v o
APATETADO	a p a t e t a ' d o
APATIA	a p a t i ' a
APATIFAR	a p a t i f a ' r
APATITE	a p a t i ' t e
APATRIOTA	a p a t r i o ' t a
APATRULHAR	a p a t r u l h a ' r
APAVONAR	a p a v o n a ' r
APAVORANTE	a p a v o r a ' n t e
APAVORAR	a p a v o r a ' r
APAZIGUADOR	a p a z i g u a d o ' r
APAZIGUAR	a p a z i g u a ' r
APEADEIRA	a p e a d e ' i r a
APEADEIRO	a p e a d e ' i r o
APEAR	a p e a ' r
APEDANTADO	a p e d a n t a ' d o
APEDRAR	a p e d r a ' r
APEDREJADOR	a p e d r e j a d o ' r
APEDREJAR	a p e d r e j a ' r
APEGADIÇO	a p e g a d i ' ç o
APEGANHAR	a p e g a n h a ' r
APEGAR	a p e g a ' r
APEGO	a p e ' g o
APELABILIDADE	a p e l a b i l i d a ' d e
APELADOR	a p e l a d o ' r
APELANTE	a p e l a ' n t e
APELAR	a p e l a ' r
APELATIVO	a p e l a t i ' v o
APELATÓRIO	a p e l a t ó ' r i o
APELIDAR	a p e l i d a ' r
APELIDO	a p e l i ' d o
APELO	a p e ' l o
APENAS	a p e ' n a s
APENDICECTOMIA	a p e n d i c e c t o m i ' a
APENDICIADO	a p e n d i c i a ' d o
APENDICITE	a p e n d i c i ' t e
APENHASCADO	a p e n h a s c a ' d o
APENINSULADO	a p e n i n s u l a ' d o
APENSO	a p e ' n s o
APEQUENAR	a p e q u e n a ' r
APERALTAR	a p e r a l t a ' r
APERCEBER	a p e r c e b e ' r
APERCETIBILIDADE	a p e r c e t i b i l i d a ' d e
APERCETIVO	a p e r c e t i ' v o
APERCETÍVEL	a p e r c e t í ' v e l
APERFEIÇOAR	a p e r f e i ç o a ' r
APERFILHAR	a p e r f i l h a ' r
APERITIVO	a p e r i t i ' v o
APERIÓDICO	a p e r i ó ' d i c o
APERTADA	a p e r t a ' d a
APERTADEIRA	a p e r t a d e ' i r a
APERTADELA	a p e r t a d e ' l a
APERTADOIRO	a p e r t a d o ' i r o
APERTADOR	a p e r t a d o ' r
APERTADOURO	a p e r t a d o ' u r o
APERTAR	a p e r t a ' r
APERTO	a p e ' r t o
APERTÃO	a p e r t ã ' o
APERUADO	a p e r u a ' d o
APESAR	a p e s a ' r
APESTANADO	a p e s t a n a ' d o
APETECER	a p e t e c e ' r
APETENTE	a p e t e ' n t e
APETIBILIDADE	a p e t i b i l i d a ' d e
APETITAR	a p e t i t a ' r
APETITE	a p e t i ' t e
APETITIVO	a p e t i t i ' v o
APETITOSO	a p e t i t o ' s o
APETIÇÃO	a p e t i ç ã ' o
APETRECHAR	a p e t r e c h a ' r
APETRECHO	a p e t r e ' c h o
APETÊNCIA	a p e t ê ' n c i a
APEÇONHAR	a p e ç o n h a ' r
APEÇONHENTAR	a p e ç o n h e n t a ' r
APICADO	a p i c a ' d o
APICULTURA	a p i c u l t u ' r a
APICULTURAL	a p i c u l t u r a ' l
APIEDAR	a p i e d a ' r
APIFOBIA	a p i f o b i ' a
APIFORME	a p i f o ' r m e
APILHAR	a p i l h a ' r
APIMENTAR	a p i m e n t a ' r
APINCELAR	a p i n c e l a ' r
APINGENTAR	a p i n g e n t a ' r
APINHAR	a p i n h a ' r
APINHOAR	a p i n h o a ' r
APINTALHAR	a p i n t a l h a ' r
APIPAR	a p i p a ' r
APITAR	a p i t a ' r
APITO	a p i ' t o
APLACAR	a p l a c a ' r
APLAINADOR	a p l a i n a d o ' r
APLAINAR	a p l a i n a ' r
APLANADOR	a p l a n a d o ' r
APLANAR	a p l a n a ' r
APLAUDENTE	a p l a u d e ' n t e
APLAUDIR	a p l a u d i ' r
APLAUSO	a p l a ' u s o
APLAUSÍVEL	a p l a u s í ' v e l
APLICABILIDADE	a p l i c a b i l i d a ' d e
APLICADA	a p l i c a ' d a
APLICANTE	a p l i c a ' n t e
APLICAR	a p l i c a ' r
APLICATIVO	a p l i c a t i ' v o
APLICAÇÃO	a p l i c a ç ã ' o
APLÁSTICO	a p l á ' s t i c o
APOCALÍPTICO	a p o c a l í ' p t i c o
APOCALÍTICO	a p o c a l í ' t i c o
APODERAR	a p o d e r a ' r
APODRECER	a p o d r e c e ' r
APODRENTAR	a p o d r e n t a ' r
APODRIR	a p o d r i ' r
APODÍTICO	a p o d í ' t i c o
APOGEU	a p o g e ' u
APOGIATURA	a p o g i a t u ' r a
APOIAR	a p o i a ' r
APOIO	a p o ' i o
APOLOGIA	a p o l o g i ' a
APOLOGISTA	a p o l o g i ' s t a
APOLOGIZAR	a p o l o g i z a ' r
APOLOGÉTICA	a p o l o g é ' t i c a
APOLOGÉTICO	a p o l o g é ' t i c o
APOLVILHAR	a p o l v i l h a ' r
APONEVRÓTICO	a p o n e v r ó ' t i c o
APONTADOR	a p o n t a d o ' r
APONTAR	a p o n t a ' r
APONTES	a p o ' n t e s
APOPLEXIA	a p o p l e x i ' a
APOQUENTADOR	a p o q u e n t a d o ' r
APOQUENTAR	a p o q u e n t a ' r
APOR	a p o ' r
APORTAR	a p o r t a ' r
APORTUGUESAR	a p o r t u g u e s a ' r
APOSENTADORIA	a p o s e n t a d o r i ' a
APOSENTAR	a p o s e n t a ' r
APOSENTO	a p o s e ' n t o
APOSIÇÃO	a p o s i ç ã ' o
APOSSAR	a p o s s a ' r
APOSTA	a p o ' s t a
APOSTAR	a p o s t a ' r
APOSTO	a p o ' s t o
APOSTOLADO	a p o s t o l a ' d o
APOSTOLAR	a p o s t o l a ' r
APOSTOLICIDADE	a p o s t o l i c i d a ' d e
APOSTOLIZAR	a p o s t o l i z a ' r
APOSTROFAR	a p o s t r o f a ' r
APOSTURA	a p o s t u ' r a
APOSTÓLICO	a p o s t ó ' l i c o
APOTENTAR	a p o t e n t a ' r
APOTEOSAR	a p o t e o s a ' r
APOTEOSE	a p o t e o ' s e
APOTEÓTICO	a p o t e ó ' t i c o
APOUCAR	a p o u c a ' r
APRAZAR	a p r a z a ' r
APRAZER	a p r a z e ' r
APRAZÍVEL	a p r a z í ' v e l
APRE	a ' p r e
APRECIADOR	a p r e c i a d o ' r
APRECIAR	a p r e c i a ' r
APRECIATIVO	a p r e c i a t i ' v o
APRECIAVELMENTE	a p r e c i a v e l m e ' n t e
APRECIÁVEL	a p r e c i á ' v e l
APREENDEDOR	a p r e e n d e d o ' r
APREENDER	a p r e e n d e ' r
APREENSIVA	a p r e e n s i ' v a
APREENSIVO	a p r e e n s i ' v o
APREENSOR	a p r e e n s o ' r
APREENSÃO	a p r e e n s ã ' o
APREENSÍVEL	a p r e e n s í ' v e l
APREENSÓRIO	a p r e e n s ó ' r i o
APREFIXAR	a p r e f i x a ' r
APREGOADOR	a p r e g o a d o ' r
APREGOAR	a p r e g o a ' r
APRENDER	a p r e n d e ' r
APRENDIZ	a p r e n d i ' z
APRENDIZADO	a p r e n d i z a ' d o
APRENDIZAGEM	a p r e n d i z a ' g e m
APRESAR	a p r e s a ' r
APRESENTADO	a p r e s e n t a ' d o
APRESENTADOR	a p r e s e n t a d o ' r
APRESENTANTE	a p r e s e n t a ' n t e
APRESENTAR	a p r e s e n t a ' r
APRESSAR	a p r e s s a ' r
APRESSURAR	a p r e s s u r a ' r
APRESTAMAR	a p r e s t a m a ' r
APRESTAR	a p r e s t a ' r
APRESTE	a p r e ' s t e
APRESTO	a p r e ' s t o
APRESUNTADO	a p r e s u n t a ' d o
APREÇAR	a p r e ç a ' r
APREÇO	a p r e ' ç o
APRIMORAR	a p r i m o r a ' r
APRIORIDADE	a p r i o r i d a ' d e
APRIORISMO	a p r i o r i ' s m o
APRIORISTA	a p r i o r i ' s t a
APRIORÍSTICO	a p r i o r í ' s t i c o
APRISIONAR	a p r i s i o n a ' r
APROAR	a p r o a ' r
APROFUNDAR	a p r o f u n d a ' r
APRONTAR	a p r o n t a ' r
APROPOSITAR	a p r o p o s i t a ' r
APROPRIADO	a p r o p r i a ' d o
APROPRIADOR	a p r o p r i a d o ' r
APROPRIAR	a p r o p r i a ' r
APROSAR	a p r o s a ' r
APROVADOR	a p r o v a d o ' r
APROVAR	a p r o v a ' r
APROVATIVO	a p r o v a t i ' v o
APROVEITABILIDADE	a p r o v e i t a b i l i d a ' d e
APROVEITADOR	a p r o v e i t a d o ' r
APROVEITANTE	a p r o v e i t a ' n t e
APROVEITAR	a p r o v e i t a ' r
APROVISIONAR	a p r o v i s i o n a ' r
APROXIMADAMENTE	a p r o x i m a d a m e ' n t e
APROXIMAR	a p r o x i m a ' r
APROXIMATIVO	a p r o x i m a t i ' v o
APROXIMAÇÃO	a p r o x i m a ç ã ' o
APRUMAR	a p r u m a ' r
APRÉSTAMO	a p r é ' s t a m o
APTIDÃO	a p t i d ã ' o
APTITUDE	a p t i t u ' d e
APTO	a ' p t o
APUCARADO	a p u c a r a ' d o
APUDORADO	a p u d o r a ' d o
APULIENSE	a p u l i e ' n s e
APUNHALANTE	a p u n h a l a ' n t e
APUNHALAR	a p u n h a l a ' r
APUPADA	a p u p a ' d a
APUPAR	a p u p a ' r
APUPO	a p u ' p o
APURAR	a p u r a ' r
APURATIVO	a p u r a t i ' v o
APURO	a p u ' r o
APURPURADO	a p u r p u r a ' d o
APÁTICO	a p á ' t i c o
APÁTRIDA	a p á ' t r i d a
APÊNDICE	a p ê ' n d i c e
APÓCRIFO	a p ó ' c r i f o
APÓFASE	a p ó ' f a s e
