A	a
CRE'DO	k r E d u
CREDO'R	k r e d o X
CREDULAME'NTE	k r e d u l a m e~ tS i
CREDULIDA'DE	k r e d u l i d a dZ i
CREDÍ'VEL	k r e dZ i v e w
CREMADE'IRO	k r e m a d ej r u
CREMADO'IRO	k r e m a d o j r u
CREMADO'URO	k r e m a d ow r u
CREMALHE'IRA	k r e m a L ej r a
CREMA'R	k r e m a X
CREMATÓ'RIO	k r e m a t O r i u
CRE'ME	k r e m i
CREMO'SO	k r e m o z u
CRENDEIRI'CE	k r e~ d e j r i s i
CRENDE'IRO	k r e~ d ej r u
CRENDI'CE	k r e~ dZ i s i
CRENOTERAPI'A	k r e n o t e r a p i a
CRE'NTE	k r e~ tS i
CRE'NÇA	k r e~ s a
CREOLI'NA	k r e o l i~ n a
CRE'PE	k r E p i
CREPITA'NTE	k r e p i t a~ tS i
CREPITA'R	k r e p i t a X
CREPITO'SO	k r e p i t o z u
CREPUSCULA'R	k r e p u s k u l a X
CREPUSCULIZA'R	k r e p u s k u l i z a X
CREPÚ'SCULO	k r e p u s k u l u
CRE'R	k r e X
CRESCE'NDO	k r e s e~ d u
CRESCE'NTE	k r e s e~ tS i
CRESCE'R	k r e s e X
CRESCIDO'TE	k r e s i d O tS i
CRESTADE'IRA	k r e s t a d ej r a
CRESTADU'RA	k r e s t a d u r a
CRESTA'NTE	k r e s t a~ tS i
CRESTA'R	k r e s t a X
CRETE'NSE	k r e t e~ s i
CRETINI'SMO	k r e tS i~ n i z m u
CRETINIZA'R	k r e tS i~ n i z a X
CRETI'NO	k r e tS i~ n u
CRETINO'IDE	k r e tS i~ n O j dZ i
CRETINO'SO	k r e tS i~ n o z u
CRETÁ'CEO	k r e t a s e u
CRETÁ'CICO	k r e t a s i k u
CRETÃ'O	k r e t a~ w~
CRI'A	k r i a
CRIACIONI'SMO	k r i a s i o n i z m u
CRIACIONI'STA	k r i a s i o n i s t a
CRIADA'GEM	k r i a d a Z e~j~
CRIADE'IRA	k r i a d ej r a
CRIA'DO	k r i a d u
CRIADO'R	k r i a d o X
CRIADO'URO	k r i a d ow r u
CRIA'NÇA	k r i a~ s a
CRIANÇA'DA	k r i a~ s a d a
CRIANÇO'LA	k r i a~ s O l a
CRIA'R	k r i a X
CRIATIVIDA'DE	k r i a tS i v i d a dZ i
CRIATI'VO	k r i a tS i v u
CRIATU'RA	k r i a t u r a
CRIATURI'NHA	k r i a t u r i~ J a
CRIAÇÃ'O	k r i a s a~ w~
CRICRI'	k r i k r i
CRI'ME	k r i~ m i
CRIMINA'L	k r i~ m i~ n a w
CRIMINALIDA'DE	k r i~ m i~ n a l i d a dZ i
CRIMINALI'STA	k r i~ m i~ n a l i s t a
CRIMINALIZA'R	k r i~ m i~ n a l i z a X
CRIMINAÇÃ'O	k r i~ m i~ n a s a~ w~
CRIMINOLOGI'A	k r i~ m i~ n o l o Z i a
CRIMINO'SO	k r i~ m i~ n o z u
CRIMINÁ'VEL	k r i~ m i~ n a v e w
CRIOGENI'A	k r i o Z e n i a
CRIOGÉ'NICO	k r i o Z E n i k u
CRIO'ILO	k r i o j l u
CRIO'ULO	k r i ow l u
CRI'PTA	k r i p t a
CRIPTOGRAFI'A	k r i p t o g r a f i a
CRIPTOGRA'MA	k r i p t o g r a~ m a
CRIPTOLOGI'A	k r i p t o l o Z i a
CRIPTOMÉ'RIA	k r i p t o m E r i a
CRI'SE	k r i z i
CRI'SMA	k r i z m a
CRISMA'L	k r i z m a w
CRISMA'R	k r i z m a X
CRISPADU'RA	k r i s p a d u r a
CRISPA'NTE	k r i s p a~ tS i
CRISPA'R	k r i s p a X
CRI'STA	k r i s t a
CRISTA'L	k r i s t a w
CRISTALARI'A	k r i s t a l a r i a
CRISTALE'IRA	k r i s t a l ej r a
CRISTALERI'A	k r i s t a l e r i a
CRISTALINIDA'DE	k r i s t a l i~ n i d a dZ i
CRISTALI'NO	k r i s t a l i~ n u
CRISTALIZADO'R	k r i s t a l i z a d o X
CRISTALIZA'R	k r i s t a l i z a X
CRISTALOGI'A	k r i s t a l o Z i a
CRISTALOGRAFI'A	k r i s t a l o g r a f i a
CRISTALO'IDE	k r i s t a l O j dZ i
CRISTALÍ'FERO	k r i s t a l i f e r u
CRISTANDA'DE	k r i s t a~ d a dZ i
CRISTIANICI'DA	k r i s tS i a n i s i d a
CRISTIANI'SMO	k r i s tS i a n i z m u
CRISTIANIZA'R	k r i s tS i a n i z a X
CRISTIANÍ'SSIMO	k r i s tS i a n i s i~ m u
CRISTOLOGI'A	k r i s t o l o Z i a
CRISTÃ'O	k r i s t a~ w~
CRISÁ'LIA	k r i z a l i a
CRISÂ'NTEMO	k r i z a~ t e m u
CRISÓ'STOMO	k r i z O s t o m u
CRITERIO'SO	k r i t e r i o z u
CRITICADO'R	k r i tS i k a d o X
CRITICA'NTE	k r i tS i k a~ tS i
CRITICA'R	k r i tS i k a X
CRITICI'SMO	k r i tS i s i z m u
CRITICI'STA	k r i tS i s i s t a
CRITIQUE'IRO	k r i tS i k ej r u
CRITIQUI'CE	k r i tS i k i s i
CRITÉ'RIO	k r i t E r i u
CRIVA'R	k r i v a X
CRIVE'IRO	k r i v ej r u
CRI'VO	k r i v u
CROA'TA	k r o a t a
CROCHÉ'	k r o S E
CROCODI'LO	k r o k o dZ i l u
CROMA'GEM	k r o m a Z e~j~
CROMA'R	k r o m a X
CROMATI'NA	k r o m a tS i~ n a
CROMATI'SMO	k r o m a tS i z m u
CROMATIZA'R	k r o m a tS i z a X
CROMA'TO	k r o m a t u
CROMATOGRAFI'A	k r o m a t o g r a f i a
CROMATOSCOPI'A	k r o m a t o s k o p i a
CROMATÓ'FORO	k r o m a t O f o r u
CROMELE'QUE	k r o m e l E k i
CRO'MO	k r o~ m u
CROMOGÉ'NEO	k r o m o Z E n e u
CROMOPLA'STA	k r o m o p l a s t a
CROMOPLASTÍ'DIO	k r o m o p l a s tS i dZ i u
CROMOSSO'MA	k r o m o s o~ m a
CROMOSSÔ'MICO	k r o m o s o m i k u
CROMOTERAPI'A	k r o m o t e r a p i a
CROMÁ'TICA	k r o m a tS i k a
CROMÁ'TICO	k r o m a tS i k u
CROMÓ'FILO	k r o m O f i l u
CROMÓ'FOBO	k r o m O f o b u
CRONICA'R	k r o n i k a X
CRONICIDA'DE	k r o n i s i d a dZ i
CRONIQUE'IRO	k r o n i k ej r u
CRONIQUIZA'R	k r o n i k i z a X
CRONI'STA	k r o n i s t a
CRONOGRAFI'A	k r o n o g r a f i a
CRONOGRA'MA	k r o n o g r a~ m a
CRONOLOGI'A	k r o n o l o Z i a
CRONOLÓ'GICO	k r o n o l O Z i k u
CRONOMETRA'GEM	k r o n o m e t r a Z e~j~
CRONOMETRA'R	k r o n o m e t r a X
CRONOMETRI'A	k r o n o m e t r i a
CRONOMETRI'STA	k r o n o m e t r i s t a
CRONÔ'METRO	k r o n o m e t r u
CROQUE'TE	k r o k E tS i
CRO'STA	k r o s t a
CROSTO'SO	k r o s t o z u
CROÁ'CIO	k r o a s i u
CRU'	k r u
CRU'A	k r u a
CRUCIA'L	k r u s i a w
CRUCIFICADO'R	k r u s i f i k a d o X
CRUCIFICA'R	k r u s i f i k a X
CRUCIFI'XO	k r u s i f i k s u
CRUCIFO'RME	k r u s i f O R m i
CRUCÍ'FERO	k r u s i f e r u
CRU'DE	k r u dZ i
CRUDELÍ'SSIMO	k r u d e l i s i~ m u
CRUE'L	k r u E w
CRUELDA'DE	k r u e w d a dZ i
CRUE'ZA	k r u e z a
CRURA'L	k r u r a w
CRU'STA	k r u s t a
CRUSTACEOLOGI'A	k r u s t a s e o l o Z i a
CRUSTÁ'CEO	k r u s t a s e u
CRUSTÁ'CEOS	k r u s t a s e u s
CRU'Z	k r u js
CRUZA'DA	k r u z a d a
CRUZA'DAS	k r u z a d a js
CRUZADO'R	k r u z a d o X
CRUZA'NTE	k r u z a~ tS i
CRUZA'R	k r u z a X
CRUZE'IRO	k r u z ej r u
CRUZE'TA	k r u z e t a
CRUZETA'DO	k r u z e t a d u
CRÁ'PULA	k r a p u l a
CRÂ'NIO	k r a~ n i u
CRÉ'DITO	k r E dZ i t u
CRÉ'DULO	k r E d u l u
CRÍ'PTICO	k r i p tS i k u
CRÍ'PTON	k r i p t o~
CRÍ'QUETE	k r i k e tS i
CRÍ'TICA	k r i tS i k a
CRÍ'TICO	k r i tS i k u
CRÔ'MICO	k r o m i k u
CRÔ'MIO	k r o m i u
CRÔ'NICA	k r o n i k a
CRÔ'NICO	k r o n i k u
CU	k u
CUA'NZA	k u a~ z a
CU'BA	k u b a
CUBA'NO	k u b a~ n u
CUBA'R	k u b a X
CUBIFO'RME	k u b i f O R m i
CUBI'SMO	k u b i z m u
CUBI'STA	k u b i s t a
CUBITA'L	k u b i t a w
CU'BO	k u b u
CUBO'IDE	k u b O j dZ i
CUBÍ'CULO	k u b i k u l u
CU'CO	k u k u
CUE'CAS	k u E k a js
CUE'IRO	k u ej r u
CUIDADE'IRA	k u i d a d ej r a
CUIDA'DO	k u i d a d u
CUIDADO'R	k u i d a d o X
CUIDADO'SO	k u i d a d o z u
CUIDA'R	k u i d a X
CU'JO	k u Z u
CULA'TRA	k u l a t r a
CULATRA'L	k u l a t r a w
CULINÁ'RIA	k u l i~ n a r i a
CULINÁ'RIO	k u l i~ n a r i u
CULMINA'NTE	k u w m i~ n a~ tS i
CULMINA'R	k u w m i~ n a X
CULMINÂ'NCIA	k u w m i~ n a~ s i a
CU'LPA	k u w p a
CULPABILIDA'DE	k u w p a b i l i d a dZ i
CULPABILIZA'R	k u w p a b i l i z a X
CULPA'R	k u w p a X
CULPO'SO	k u w p o z u
CULTI'SMO	k u w tS i z m u
CULTIVADO'R	k u w tS i v a d o X
CULTIVA'R	k u w tS i v a X
CULTI'VO	k u w tS i v u
CU'LTO	k u w t u
CULTO'R	k u w t o X
CULTU'RA	k u w t u r a
CULTURA'L	k u w t u r a w
CULTURI'SMO	k u w t u r i z m u
CULTURI'STA	k u w t u r i s t a
CU'ME	k u~ m i
CUMPLICIA'R	k u~ p l i s i a X
CUMPLICIDA'DE	k u~ p l i s i d a dZ i
CUMPRIMENTADO'R	k u~ p r i~ m e~ t a d o X
CUMPRIMENTA'R	k u~ p r i~ m e~ t a X
CUMPRIMENTE'IRO	k u~ p r i~ m e~ t ej r u
CUMPRIME'NTO	k u~ p r i~ m e~ t u
CUMPRI'R	k u~ p r i X
CUMULA'R	k u~ m u l a X
CUMULATI'VO	k u~ m u l a tS i v u
CUNEIFO'RME	k u~ n e j f O R m i
CU'NHA	k u~ J a
CUNHA'DA	k u~ J a d a
CUNHA'DO	k u~ J a d u
CUNHADO'R	k u~ J a d o X
CUNHA'GEM	k u~ J a Z e~j~
CUNHA'R	k u~ J a X
CU'NHO	k u~ J u
CUPIDE'Z	k u p i d e js
CUPIDINO'SO	k u p i dZ i~ n o z u
CUPI'DO	k u p i d u
CUPULA'DO	k u p u l a d u
CUPULIFO'RME	k u p u l i f O R m i
CUPÃ'O	k u p a~ w~
CU'RA	k u r a
CURABILIDA'DE	k u r a b i l i d a dZ i
CURADO'R	k u r a d o X
CURADORI'A	k u r a d o r i a
CURANDE'IRA	k u r a~ d ej r a
CURANDEIRI'SMO	k u r a~ d e j r i z m u
CURANDE'IRO	k u r a~ d ej r u
CURANDI'CE	k u r a~ dZ i s i
CURA'R	k u r a X
CURATI'VO	k u r a tS i v u
CURA'TO	k u r a t u
CU'RDO	k u R d u
CURIA'L	k u r i a w
CURIALIDA'DE	k u r i a l i d a dZ i
CURIALI'SMO	k u r i a l i z m u
CURI'E	k u r i
CURIOSIDA'DE	k u r i o z i d a dZ i
CURIO'SO	k u r i o z u
CURIÃ'O	k u r i a~ w~
CURRA'L	k u R a w
CURRALA'DA	k u R a l a d a
CURRALE'IRO	k u R a l ej r u
CURRICULA'R	k u R i k u l a X
CU'RRO	k u R u
CURRÍ'CULO	k u R i k u l u
CURSA'R	k u X s a X
CURSI'STA	k u X s i s t a
CURSI'VO	k u X s i v u
CU'RSO	k u X s u
CURSO'R	k u X s o X
CU'RTA	k u X t a
CU'RTAS	k u X t a js
CURTE'ZA	k u X t e z a
CURTIDO'IRO	k u X tS i d o j r u
CURTIDO'URO	k u X tS i d ow r u
CURTIDU'RA	k u X tS i d u r a
CURTI'R	k u X tS i X
CU'RTO	k u X t u
CURTU'ME	k u X t u~ m i
CU'RVA	k u R v a
CURVA'R	k u R v a X
CURVATU'RA	k u R v a t u r a
CURVEJA'R	k u R v e Z a X
CURVE'TA	k u R v e t a
CURVILÍ'NEO	k u R v i l i n e u
CU'RVO	k u R v u
CU'SPE	k u s p i
CUSPIDE'IRA	k u s p i d ej r a
CUSPIDE'LA	k u s p i d E l a
CUSPIDO'URO	k u s p i d ow r u
CUSPIDU'RA	k u s p i d u r a
CUSPI'R	k u s p i X
CU'SPO	k u s p u
CU'STA	k u s t a
CUSTA'R	k u s t a X
CUSTEA'R	k u s t e a X
CUSTE'IO	k u s t ej u
CU'STO	k u s t u
CUSTODIA'R	k u s t o dZ i a X
CUSTO'SO	k u s t o z u
CUSTÓ'DIA	k u s t O dZ i a
CUSTÓ'DIO	k u s t O dZ i u
CUTE'LA	k u t E l a
CUTELARI'A	k u t e l a r i a
CUTELE'IRO	k u t e l ej r u
CUTE'LO	k u t E l u
CUTELÃ'O	k u t e l a~ w~
CUTICULA'R	k u tS i k u l a X
CUTILA'DA	k u tS i l a d a
CUTILARI'A	k u tS i l a r i a
CUTILE'IRO	k u tS i l ej r u
CUTÂ'NEO	k u t a~ n e u
CUTÍ'CULA	k u tS i k u l a
CÁ'	k a
CÁ'BULA	k a b u l a
CÁ'DMIO	k a dZ m i u
CÁ'GADO	k a g a d u
CÁ'LCICO	k a w s i k u
CÁ'LCIO	k a w s i u
CÁ'LCULO	k a w k u l u
CÁ'LICE	k a l i s i
CÁ'LIDO	k a l i d u
CÁ'PSULA	k a p s u l a
CÁ'RCERE	k a X s e r i
CÁ'RIE	k a r i
CÁ'RNEO	k a R n e u
CÁ'RTER	k a X t e X
CÁ'TEDRA	k a t e d r a
CÁ'TODO	k a t o d u
CÁ'USTICA	k a u s tS i k a
CÁ'USTICO	k a u s tS i k u
CÂ'MARA	k a~ m a r a
CÂ'MBIO	k a~ b i u
CÂ'MBRICO	k a~ b r i k u
CÂ'NCER	k a~ s e X
CÂ'NDIDO	k a~ dZ i d u
CÂ'NFORA	k a~ f o r a
CÂ'NHAMO	k a~ J a m u
CÂ'NON	k a~ n o~
CÂ'NONE	k a~ n o n i
CÂ'NTARA	k a~ t a r a
CÂ'NTARO	k a~ t a r u
CÂ'NTICO	k a~ tS i k u
CÃ'IBRA	k a~ i b r a
CÃ'O	k a~ w~
CÉ'DULA	s E d u l a
CÉ'LEBRE	s E l e b r i
CÉ'LERE	s E l e r i
CÉ'LTICO	s E w tS i k u
CÉ'LULA	s E l u l a
CÉ'NICO	s E n i k u
CÉ'RCEO	s E X s e u
CÉ'REBRO	s E r e b r u
CÉ'SAR	s E s a X
CÉ'SIO	s E s i u
CÉ'TICO	s E tS i k u
CÉ'U	s E u
CÊ'	s e
CÊ'NTIMO	s e~ tS i~ m u
CÊ'NTUPLO	s e~ t u p l u
CÍ'CLICO	s i k l i k u
CÍ'LIO	s i l i u
CÍ'MBALO	s i~ b a l u
CÍ'NICO	s i n i k u
CÍ'RCULO	s i X k u l u
CÍ'RIO	s i r i u
CÍ'TARA	s i t a r a
CÍ'TRICO	s i t r i k u
CÍ'VEL	s i v e w
CÍ'VICO	s i v i k u
CÓ'CEGAS	k O s e g a js
CÓ'CORAS	k O k o r a js
CÓ'DICE	k O dZ i s i
CÓ'DIGO	k O dZ i g u
CÓ'LERA	k O l e r a
CÓ'LICA	k O l i k a
CÓ'LICO	k O l i k u
CÓ'LON	k O l o~
CÓ'PIA	k O p i a
CÓ'PULA	k O p u l a
CÓ'RNEA	k O R n e a
CÓ'RNEO	k O R n e u
CÓ'RSICO	k O X s i k u
CÓ'RTEX	k O X t e k s
CÓ'RTICE	k O X tS i s i
CÓ'SMICO	k O z m i k u
CÔ'A	k o a
CÔ'DEA	k o d e a
CÔ'MICO	k o m i k u
CÔ'MODA	k o m o d a
CÔ'MODO	k o m o d u
CÔ'MPUTO	k o~ p u t u
CÔ'NCAVO	k o~ k a v u
CÔ'NEGO	k o n e g u
CÔ'NGRUA	k o~ g r u a
CÔ'NICA	k o n i k a
CÔ'NICO	k o n i k u
CÔ'NJUGE	k o~ Z u Z i
CÔ'NSCIO	k o~ s i u
CÔ'NSUL	k o~ s u w
CÚ'BICO	k u b i k u
CÚ'BITO	k u b i t u
CÚ'MPLICE	k u~ p l i s i
CÚ'MULO	k u m u l u
CÚ'PIDO	k u p i d u
CÚ'PULA	k u p u l a
CÚ'RIA	k u r i a
DA	d a
DACTÍ'LICO	d a k tS i l i k u
DA'DA	d a d a
DA'DO	d a d u
DADO'R	d a d o X
DA'LGO	d a w g u
DALGU'M	d a w g u~
DALGU'RES	d a w g u r i s
DALGUÉ'M	d a w g e~j~
DALI'	d a l i
DALTONI'SMO	d a w t o n i z m u
DALTÔ'NICO	d a w t o n i k u
DALÉ'M	d a l e~j~
DA'MA	d a~ m a
DA'MAS	d a~ m a js
DAMASCE'NO	d a m a s e~ n u
DAMA'SCO	d a m a s k u
DAMASQUE'IRO	d a m a s k ej r u
DANA'R	d a n a X
DANIFICA'R	d a n i f i k a X
DANI'NHO	d a n i~ J u
DA'NO	d a~ n u
DANO'SO	d a n o z u
DA'NTES	d a~ tS i s
DANTE'SCO	d a~ t e s k u
DANUBIA'NO	d a n u b i a~ n u
DA'NÇA	d a~ s a
DANÇADE'IRA	d a~ s a d ej r a
DANÇADO'R	d a~ s a d o X
DANÇA'NTE	d a~ s a~ tS i
DANÇA'R	d a~ s a X
DANÇARICA'R	d a~ s a r i k a X
DANÇARI'NO	d a~ s a r i~ n u
DAQUE'LE	d a k e l i
DAQUI'	d a k i
DAQUI'LO	d a k i l u
DAQUÉ'M	d a k e~j~
DA'R	d a X
DARDEJA'R	d a R d e Z a X
DA'RDO	d a R d u
DA'TA	d a t a
DATADO'R	d a t a d o X
DATA'L	d a t a w
DATA'R	d a t a X
DATILOGRAFA'R	d a tS i l o g r a f a X
DATILOGRAFI'A	d a tS i l o g r a f i a
DATI'VO	d a tS i v u
DAÍ'	d a i
DE	dZ i
DEALBA'R	d e a w b a X
DEAMBULA'NTE	d e a~ b u l a~ tS i
DEAMBULA'R	d e a~ b u l a X
DEAMBULATÓ'RIO	d e a~ b u l a t O r i u
DEAMBULI'SMO	d e a~ b u l i z m u
DEBA'IXO	d e b a j S u
DEBA'LDE	d e b a w dZ i
DEBANDA'DA	d e b a~ d a d a
DEBANDA'R	d e b a~ d a X
DEBA'TE	d e b a tS i
DEBATE'R	d e b a t e X
DEBELA'R	d e b e l a X
DEBELATÓ'RIO	d e b e l a t O r i u
DEBICA'R	d e b i k a X
DEBILIDA'DE	d e b i l i d a dZ i
DEBILITADO'R	d e b i l i t a d o X
DEBILITA'NTE	d e b i l i t a~ tS i
DEBILITA'R	d e b i l i t a X
DEBILME'NTE	d E b i w m e~ tS i
DEBI'QUE	d e b i k i
DEBIQUE'IRO	d e b i k ej r u
DEBITA'R	d e b i t a X
DEBOCHA'R	d e b o S a X
DEBO'CHE	d e b O S i
DEBRUA'R	d e b r u a X
DEBRUÇA'R	d e b r u s a X
DEBU'LHA	d e b u L a
DEBULHA'DA	d e b u L a d a
DEBULHADE'IRA	d e b u L a d ej r a
DEBULHADO'R	d e b u L a d o X
DEBULHADO'RA	d e b u L a d o r a
DEBULHA'R	d e b u L a X
DEBU'LHO	d e b u L u
DEBUTA'NTE	d e b u t a~ tS i
DEBUTA'R	d e b u t a X
DEBUXA'R	d e b u S a X
DEBU'XO	d e b u S u
DECADE'NTE	d e k a d e~ tS i
DECADENTI'SMO	d e k a d e~ tS i z m u
DECADENTI'STA	d e k a d e~ tS i s t a
DECADÊ'NCIA	d e k a d e~ s i a
DECAGONA'L	d e k a g o n a w
DECAGRA'MA	d e k a g r a~ m a
DECAI'R	d e k a j X
DECALCA'R	d e k a w k a X
DECALCOMANI'A	d e k a w k o m a n i a
DECALI'TRO	d e k a l i t r u
DECA'LQUE	d e k a w k i
DECANA'DO	d e k a n a d u
DECANGULA'R	d e k a~ g u l a X
DECANI'A	d e k a n i a
DECA'NO	d e k a~ n u
DECANTA'R	d e k a~ t a X
DECAPITA'R	d e k a p i t a X
DECASSILÁ'BICO	d e k a s i l a b i k u
DECASSÍ'LABO	d e k a s i l a b u
DECA'TLO	d e k a t l u
DECAÍ'DA	d e k a i d a
DECAÍ'DO	d e k a i d u
DECECIONA'R	d e s e s i o n a X
DECE'NTE	d e s e~ tS i
DECEPA'R	d e s e p a X
DECE'RTO	d e s E X t u
DECETI'VO	d e s e tS i v u
DECEÇÃ'O	d e s e s a~ w~
DECIBE'L	d e s i b E w
DECIDIDAME'NTE	d e s i dZ i d a m e~ tS i
DECIDI'R	d e s i dZ i X
DECIDÍ'VEL	d e s i dZ i v e w
DECIFRADO'R	d e s i f r a d o X
DECIFRA'R	d e s i f r a X
DECIGRA'DO	d e s i g r a d u
DECIGRA'MA	d e s i g r a~ m a
DECI'L	d e s i w
DECILITRA'GEM	d e s i l i t r a Z e~j~
DECILITRA'R	d e s i l i t r a X
DECILITRE'IRO	d e s i l i t r ej r u
DECILI'TRO	d e s i l i t r u
DECIMA'L	d e s i~ m a w
DECIMALIDA'DE	d e s i~ m a l i d a dZ i
DECIMALIZAÇÃ'O	d e s i~ m a l i z a s a~ w~
DECIMÁ'VEL	d e s i~ m a v e w
DECISI'VO	d e s i z i v u
DECISÃ'O	d e s i z a~ w~
DECISÓ'RIO	d e s i z O r i u
DECLAMADO'R	d e k l a m a d o X
DECLAMA'NTE	d e k l a m a~ tS i
DECLAMA'R	d e k l a m a X
DECLAMATI'VO	d e k l a m a tS i v u
DECLAMATÓ'RIO	d e k l a m a t O r i u
DECLARADO'R	d e k l a r a d o X
DECLARA'NTE	d e k l a r a~ tS i
DECLARA'R	d e k l a r a X
DECLARATI'VO	d e k l a r a tS i v u
DECLARATÓ'RIO	d e k l a r a t O r i u
DECLARAÇÃ'O	d e k l a r a s a~ w~
DECLINA'NTE	d e k l i~ n a~ tS i
DECLINA'R	d e k l i~ n a X
DECLINATI'VO	d e k l i~ n a tS i v u
DECLINATÓ'RIO	d e k l i~ n a t O r i u
DECLIVA'R	d e k l i v a X
DECLI'VE	d e k l i v i
DECLIVIDA'DE	d e k l i v i d a dZ i
DECLIVO'SO	d e k l i v o z u
DECLÍ'NIO	d e k l i n i u
DECLÍ'VIO	d e k l i v i u
DECOMPONE'NTE	d e k o~ p o n e~ tS i
DECOMPONIBILIDA'DE	d e k o~ p o n i b i l i d a dZ i
DECOMPONÍ'VEL	d e k o~ p o n i v e w
DECOMPO'R	d e k o~ p o X
DECOMPOSIÇÃ'O	d e k o~ p o z i s a~ w~
DECORADO'R	d e k o r a d o X
DECORA'R	d e k o r a X
DECORATI'VO	d e k o r a tS i v u
DECORAÇÃ'O	d e k o r a s a~ w~
DECO'RO	d e k O r u
DECORO'SO	d e k o r o z u
DECORRE'NTE	d e k o R e~ tS i
DECORRE'R	d e k o R e X
DECOTA'R	d e k o t a X
DECO'TE	d e k O tS i
DECREMENTA'R	d e k r e m e~ t a X
DECREME'NTO	d e k r e m e~ t u
DECREPITA'R	d e k r e p i t a X
DECREPITU'DE	d e k r e p i t u dZ i
DECRESCE'NTE	d e k r e s e~ tS i
DECRESCE'NÇA	d e k r e s e~ s a
DECRESCE'R	d e k r e s e X
DECRETA'R	d e k r e t a X
DECRE'TO	d e k r E t u
DECRETÓ'RIO	d e k r e t O r i u
DECRÉ'PITO	d e k r E p i t u
DECRÉ'SCIMO	d e k r E s i~ m u
DECU'RSO	d e k u X s u
DECÁ'GONO	d e k a g o n u
DECÁ'LOGO	d e k a l o g u
DECÂ'METRO	d e k a~ m e t r u
DECÉ'NIO	d e s E n i u
DECÊ'NCIA	d e s e~ s i a
DECÍ'DUA	d e s i d u a
DECÍ'METRO	d e s i m e t r u
DECÚ'BITO	d e k u b i t u
DEDA'DA	d e d a d a
DEDA'L	d e d a w
DEDALE'IRA	d e d a l ej r a
DEDICA'DO	d e dZ i k a d u
DEDICA'R	d e dZ i k a X
DEDICATÓ'RIA	d e dZ i k a t O r i a
DEDILHA'R	d e dZ i L a X
DE'DO	d e d u
DEDUCE'NTE	d e d u s e~ tS i
DEDUCIONA'L	d e d u s i o n a w
DEDUTI'VO	d e d u tS i v u
DEDUTÍ'VEL	d e d u tS i v e w
DEDUZI'R	d e d u z i X
DEDUÇÃ'O	d e d u s a~ w~
DEDÁ'LEO	d e d a l e u
DEDÁ'LICA	d e d a l i k a
DEDÁ'LICO	d e d a l i k u
DEDÃ'O	d e d a~ w~
DEFECADO'R	d e f e k a d o X
DEFECA'R	d e f e k a X
DEFECATÓ'RIO	d e f e k a t O r i u
DEFE'ITO	d e f ej t u
DEFEITUO'SO	d e f e j t u o z u
DEFENDE'NTE	d e f e~ d e~ tS i
DEFENDE'R	d e f e~ d e X
DEFE'NSA	d e f e~ s a
DEFENSA'R	d e f e~ s a X
DEFENSI'VA	d e f e~ s i v a
DEFENSI'VO	d e f e~ s i v u
DEFENSO'R	d e f e~ s o X
DEFENSÍ'VEL	d e f e~ s i v e w
DEFENSÓ'RIO	d e f e~ s O r i u
DEFERENCIA'L	d e f e r e~ s i a w
DEFERE'NTE	d e f e r e~ tS i
DEFERI'R	d e f e r i X
DEFERÊ'NCIA	d e f e r e~ s i a
DEFE'SA	d e f e z a
DEFE'SO	d e f e z u
DEFETIBILIDA'DE	d e f e tS i b i l i d a dZ i
DEFETIVIDA'DE	d e f e tS i v i d a dZ i
DEFETI'VO	d e f e tS i v u
DEFETÍ'VEL	d e f e tS i v e w
DEFEÇÃ'O	d e f e s a~ w~
DEFICIE'NTE	d e f i s i e~ tS i
DEFI'CIT	d e f i s i tS
DEFICITÁ'RIO	d e f i s i t a r i u
DEFICIÊ'NCIA	d e f i s i e~ s i a
DEFINHADO'R	d e f i~ J a d o X
DEFINHA'R	d e f i~ J a X
DEFINIBILIDA'DE	d e f i~ n i b i l i d a dZ i
DEFINI'DO	d e f i~ n i d u
DEFINI'R	d e f i~ n i X
DEFINITI'VO	d e f i~ n i tS i v u
DEFINITÓ'RIO	d e f i~ n i t O r i u
DEFINIÇÃ'O	d e f i~ n i s a~ w~
DEFLACIONI'SMO	d e f l a s i o n i z m u
DEFLACIONI'STA	d e f l a s i o n i s t a
DEFLAGRADO'R	d e f l a g r a d o X
DEFLAGRA'NTE	d e f l a g r a~ tS i
DEFLAGRA'R	d e f l a g r a X
DEFLAÇÃ'O	d e f l a s a~ w~
DEFLETI'R	d e f l e tS i X
DEFLETO'R	d e f l e t o X
DEFLEXÃ'O	d e f l e k s a~ w~
DEFLORA'R	d e f l o r a X
DEFLUI'R	d e f l u i X
DEFLU'XO	d e f l u k s u
DEFLUXÃ'O	d e f l u k s a~ w~
DEFLUÊ'NCIA	d e f l u e~ s i a
DEFORMADO'R	d e f o R m a d o X
DEFORMA'R	d e f o R m a X
DEFORMATÓ'RIO	d e f o R m a t O r i u
DEFORMAÇÃ'O	d e f o R m a s a~ w~
DEFORMIDA'DE	d e f o R m i d a dZ i
DEFRAUDADO'R	d e f r a u d a d o X
DEFRAUDA'R	d e f r a u d a X
DEFRONTA'NTE	d e f r o~ t a~ tS i
DEFRONTA'R	d e f r o~ t a X
DEFRO'NTE	d e f r o~ tS i
DEFUMADE'LA	d e f u~ m a d E l a
DEFUMADO'R	d e f u~ m a d o X
DEFUMADO'URO	d e f u~ m a d ow r u
